,Player,Pos,Tm,Season
2573,Jonathan Isaac,PF,ORL,2020
2574,Wes Iwundu,SF,ORL,2020
2575,Frank Jackson,PG,NOP,2020
2576,Jaren Jackson Jr.,C,MEM,2020
2577,Josh Jackson,SF,MEM,2020
2578,Justin Jackson,PF,DAL,2020
2579,Reggie Jackson,PG,DET,2020
2580,Reggie Jackson,PG,LAC,2020
2581,Justin James,SF,SAC,2020
2582,LeBron James,PG,LAL,2020
2583,Amile Jefferson,PF,ORL,2020
2584,DaQuan Jeffries,SG,SAC,2020
2585,Ty Jerome,SG,PHO,2020
2586,Alize Johnson,PF,IND,2020
2587,B.J. Johnson,SF,ORL,2020
2588,Cameron Johnson,PF,PHO,2020
2589,James Johnson,PF,MIA,2020
2590,James Johnson,C,MIN,2020
2591,Keldon Johnson,SF,SAS,2020
2592,Stanley Johnson,PF,TOR,2020
2593,Tyler Johnson,PG,PHO,2020
2594,Tyler Johnson,SG,BRK,2020
2595,Nikola Jokic,C,DEN,2020
2596,Damian Jones,C,ATL,2020
2597,Derrick Jones Jr.,SF,MIA,2020
2598,Tyus Jones,PG,MEM,2020
2599,DeAndre Jordan,C,BRK,2020
2600,Cory Joseph,PG,SAC,2020
2601,Mfiondu Kabengele,C,LAC,2020
2602,Frank Kaminsky,C,PHO,2020
2603,Luke Kennard,SG,DET,2020
2604,Stanton Kidd,SG,UTA,2020
2605,Michael Kidd-Gilchrist,PF,CHO,2020
2606,Michael Kidd-Gilchrist,PF,DAL,2020
2607,Louis King,SF,DET,2020
2608,Maxi Kleber,PF,DAL,2020
2609,Brandon Knight,SG,CLE,2020
2610,Brandon Knight,PG,DET,2020
2611,Kevin Knox,SF,NYK,2020
2612,John Konchar,SG,MEM,2020
2613,Furkan Korkmaz,SG,PHI,2020
2614,Luke Kornet,C,CHI,2020
2615,Kyle Korver,SF,MIL,2020
2616,Rodions Kurucs,PF,BRK,2020
2617,Kyle Kuzma,PF,LAL,2020
2618,Skal Labissiere,C,POR,2020
2619,Jeremy Lamb,SG,IND,2020
2620,Romeo Langford,SG,BOS,2020
2621,Zach LaVine,SF,CHI,2020
2622,Vic Law,PF,ORL,2020
2623,Jake Layman,SF,MIN,2020
2624,T.J. Leaf,PF,IND,2020
2625,Jalen Lecque,SG,PHO,2020
2626,Courtney Lee,SG,DAL,2020
2627,Damion Lee,SG,GSW,2020
2628,Alex Len,C,ATL,2020
2629,Alex Len,C,SAC,2020
2630,Kawhi Leonard,SF,LAC,2020
2631,Meyers Leonard,C,MIA,2020
2632,Caris LeVert,SG,BRK,2020
2633,Damian Lillard,PG,POR,2020
2634,Nassir Little,PF,POR,2020
2635,Kevon Looney,C,GSW,2020
2636,Brook Lopez,C,MIL,2020
2637,Robin Lopez,C,MIL,2020
2638,Kevin Love,PF,CLE,2020
2639,Kyle Lowry,PG,TOR,2020
2640,Timothe Luwawu-Cabarrot,SF,BRK,2020
2641,Trey Lyles,PF,SAS,2020
2642,Daryl Macon,PG,MIA,2020
2643,J.P. Macura,SG,CLE,2020
2644,Josh Magette,PG,ORL,2020
2645,Ian Mahinmi,C,WAS,2020
2646,Thon Maker,C,DET,2020
2647,Terance Mann,SF,LAC,2020
2648,Boban Marjanovic,C,DAL,2020
2649,Lauri Markkanen,PF,CHI,2020
2650,Caleb Martin,SF,CHO,2020
2651,Cody Martin,SF,CHO,2020
2652,Jeremiah Martin,PG,BRK,2020
2653,Kelan Martin,SF,MIN,2020
2654,Frank Mason III,PG,MIL,2020
2655,Garrison Mathews,SG,WAS,2020
2656,Wesley Matthews,SG,MIL,2020
2657,Luc Mbah a Moute,PF,HOU,2020
2658,Patrick McCaw,SF,TOR,2020
2659,CJ McCollum,SG,POR,2020
2660,T.J. McConnell,PG,IND,2020
2661,Jalen McDaniels,SF,CHO,2020
2662,Doug McDermott,PF,IND,2020
2663,JaVale McGee,C,LAL,2020
2664,Rodney McGruder,SG,LAC,2020
2665,Alfonzo McKinnie,SF,CLE,2020
2666,Jordan McLaughlin,PG,MIN,2020
2667,Ben McLemore,SF,HOU,2020
2668,Jordan McRae,SG,WAS,2020
2669,Jordan McRae,SG,DEN,2020
2670,Jordan McRae,SG,DET,2020
2671,Nicolo Melli,C,NOP,2020
2672,De'Anthony Melton,PG,MEM,2020
2673,Chimezie Metu,C,SAS,2020
2674,Khris Middleton,SF,MIL,2020
2675,Eric Mika,C,SAC,2020
2676,C.J. Miles,SF,WAS,2020
2677,Malcolm Miller,SF,TOR,2020
2678,Patty Mills,PG,SAS,2020
2679,Paul Millsap,PF,DEN,2020
2680,Shake Milton,SG,PHI,2020
2681,Donovan Mitchell,SG,UTA,2020
2682,Naz Mitrou-Long,SG,IND,2020
2683,Adam Mokoka,SF,CHI,2020
2684,Malik Monk,SG,CHO,2020
2685,Matt Mooney,SG,CLE,2020
2686,E'Twaun Moore,SG,NOP,2020
2687,Ja Morant,PG,MEM,2020
2688,Juwan Morgan,PF,UTA,2020
2689,Marcus Morris,SF,NYK,2020
2690,Marcus Morris,PF,LAC,2020
2691,Markieff Morris,PF,DET,2020
2692,Markieff Morris,PF,LAL,2020
2693,Monte Morris,PG,DEN,2020
2694,Johnathan Motley,PF,LAC,2020
2695,Emmanuel Mudiay,PG,UTA,2020
2696,Mychal Mulder,SF,GSW,2020
2697,Dejounte Murray,PG,SAS,2020
2698,Jamal Murray,PG,DEN,2020
2699,Dzanan Musa,SF,BRK,2020
2700,Mike Muscala,C,OKC,2020
2701,Svi Mykhailiuk,SF,DET,2020
2702,Abdel Nader,SF,OKC,2020
2703,Larry Nance Jr.,PF,CLE,2020
2704,Shabazz Napier,PG,MIN,2020
2705,Shabazz Napier,PG,WAS,2020
2706,Raul Neto,PG,PHI,2020
2707,Malik Newman,SG,CLE,2020
2708,Georges Niang,PF,UTA,2020
2709,Joakim Noah,C,LAC,2020
2710,Nerlens Noel,C,OKC,2020
2711,Zach Norvell,SG,LAL,2020
2712,Zach Norvell,SG,GSW,2020
2713,Jaylen Nowell,SG,MIN,2020
2714,Frank Ntilikina,PG,NYK,2020
2715,Kendrick Nunn,PG,MIA,2020
2716,Jusuf Nurkic,C,POR,2020
2717,David Nwaba,SF,BRK,2020
2718,Royce O'Neale,SF,UTA,2020
2719,Kyle O'Quinn,C,PHI,2020
2720,Semi Ojeleye,PF,BOS,2020
2721,Jahlil Okafor,C,NOP,2020
2722,Elie Okobo,PG,PHO,2020
2723,Josh Okogie,SG,MIN,2020
2724,KZ Okpala,PF,MIA,2020
2725,Victor Oladipo,SG,IND,2020
2726,Kelly Olynyk,C,MIA,2020
2727,Miye Oni,SF,UTA,2020
2728,Cedi Osman,SF,CLE,2020
2729,Kelly Oubre Jr.,SF,PHO,2020
2730,Tariq Owens,PF,PHO,2020
2731,Jeremy Pargo,PG,GSW,2020
2732,Jabari Parker,PF,ATL,2020
2733,Jabari Parker,PF,SAC,2020
2734,Chandler Parsons,PF,ATL,2020
2735,Eric Paschall,PF,GSW,2020
2736,Anzejs Pasecniks,C,WAS,2020
2737,Patrick Patterson,PF,LAC,2020
2738,Justin Patton,C,OKC,2020
2739,Chris Paul,PG,OKC,2020
2740,Cameron Payne,SG,PHO,2020
2741,Elfrid Payton,PG,NYK,2020
2742,Gary Payton II,SF,WAS,2020
2743,Norvel Pelle,C,PHI,2020
2744,Theo Pinson,SG,BRK,2020
2745,Mason Plumlee,C,DEN,2020
2746,Jakob Poeltl,C,SAS,2020
2747,Vincent Poirier,C,BOS,2020
2748,Shamorie Ponds,PG,TOR,2020
2749,Jordan Poole,SG,GSW,2020
2750,Kevin Porter Jr.,SF,CLE,2020
2751,Michael Porter Jr.,SF,DEN,2020
2752,Otto Porter Jr.,SF,CHI,2020
2753,Bobby Portis,PF,NYK,2020
2754,Kristaps Porzingis,C,DAL,2020
2755,Dwight Powell,C,DAL,2020
2756,Norman Powell,SG,TOR,2020
2757,Taurean Prince,PF,BRK,2020
2758,Chasson Randle,PG,GSW,2020
2759,Julius Randle,PF,NYK,2020
2760,Josh Reaves,SF,DAL,2020
2761,Cam Reddish,SF,ATL,2020
2762,J.J. Redick,SG,NOP,2020
2763,Naz Reid,C,MIN,2020
2764,Josh Richardson,SG,PHI,2020
2765,Austin Rivers,SG,HOU,2020
2766,Andre Roberson,SF,OKC,2020
2767,Duncan Robinson,SG,MIA,2020
2768,Glenn Robinson III,SF,GSW,2020
2769,Glenn Robinson III,SF,PHI,2020
2770,Jerome Robinson,SG,LAC,2020
2771,Jerome Robinson,SG,WAS,2020
2772,Justin Robinson,PG,WAS,2020
2773,Mitchell Robinson,C,NYK,2020
2774,Isaiah Roby,PF,OKC,2020
2775,Rajon Rondo,PG,LAL,2020
2776,Derrick Rose,PG,DET,2020
2777,Terrence Ross,SG,ORL,2020
2778,Terry Rozier,PG,CHO,2020
2779,Ricky Rubio,PG,PHO,2020
2780,D'Angelo Russell,PG,GSW,2020
2781,D'Angelo Russell,PG,MIN,2020
2782,Domantas Sabonis,PF,IND,2020
2783,Luka Samanic,PF,SAS,2020
2784,JaKarr Sampson,PF,IND,2020
2785,Dario Saric,PF,PHO,2020
2786,Tomas Satoransky,SG,CHI,2020
2787,Admiral Schofield,PF,WAS,2020
2788,Dennis Schroder,PG,OKC,2020
2789,Mike Scott,PF,PHI,2020
2790,Thabo Sefolosha,PF,HOU,2020
2791,Collin Sexton,PG,CLE,2020
2792,Landry Shamet,SG,LAC,2020
2793,Marial Shayok,SG,PHI,2020
2794,Iman Shumpert,SF,BRK,2020
2795,Pascal Siakam,PF,TOR,2020
2796,Chris Silva,PF,MIA,2020
2797,Ben Simmons,PG,PHI,2020
2798,Anfernee Simons,SG,POR,2020
2799,Alen Smailagic,C,GSW,2020
2800,Marcus Smart,SG,BOS,2020
2801,Dennis Smith Jr.,PG,NYK,2020
2802,Ish Smith,PG,WAS,2020
2803,J.R. Smith,SG,LAL,2020
2804,Zhaire Smith,SF,PHI,2020
2805,Tony Snell,SF,DET,2020
2806,Omari Spellman,C,GSW,2020
2807,Max Strus,SF,CHI,2020
2808,Edmond Sumner,SG,IND,2020
2809,Caleb Swanigan,C,SAC,2020
2810,Caleb Swanigan,PF,POR,2020
2811,Jayson Tatum,PF,BOS,2020
2812,Jeff Teague,PG,MIN,2020
2813,Jeff Teague,PG,ATL,2020
2814,Garrett Temple,SG,BRK,2020
2815,Daniel Theis,C,BOS,2020
2816,Isaiah Thomas,PG,WAS,2020
2817,Khyri Thomas,SG,DET,2020
2818,Lance Thomas,PF,BRK,2020
2819,Matt Thomas,SG,TOR,2020
2820,Tristan Thompson,PF,CLE,2020
2821,Sindarius Thornwell,SF,NOP,2020
2822,Matisse Thybulle,SG,PHI,2020
2823,Anthony Tolliver,PF,POR,2020
2824,Anthony Tolliver,PF,SAC,2020
2825,Anthony Tolliver,PF,MEM,2020
2826,Juan Toscano-Anderson,SG,GSW,2020
2827,Karl-Anthony Towns,C,MIN,2020
2828,Gary Trent Jr.,SF,POR,2020
2829,Allonzo Trier,SG,NYK,2020
2830,P.J. Tucker,PF,HOU,2020
2831,Rayjon Tucker,SG,UTA,2020
2832,Evan Turner,SG,ATL,2020
2833,Myles Turner,C,IND,2020
2834,Jarrod Uthoff,PF,MEM,2020
2835,Jarrod Uthoff,PF,WAS,2020
2836,Jonas Valanciunas,C,MEM,2020
2837,Denzel Valentine,SF,CHI,2020
2838,Jarred Vanderbilt,PF,DEN,2020
2839,Jarred Vanderbilt,PF,MIN,2020
2840,Fred VanVleet,SG,TOR,2020
2841,Gabe Vincent,PG,MIA,2020
2842,Noah Vonleh,C,MIN,2020
2843,Noah Vonleh,C,DEN,2020
2844,Nikola Vucevic,C,ORL,2020
2845,Dean Wade,PF,CLE,2020
2846,Moritz Wagner,C,WAS,2020
2847,Dion Waiters,SG,MIA,2020
2848,Dion Waiters,SG,LAL,2020
2849,Kemba Walker,PG,BOS,2020
2850,Lonnie Walker IV,SG,SAS,2020
2851,Tyrone Wallace,SG,ATL,2020
2852,Derrick Walton,PG,LAC,2020
2853,Derrick Walton,PG,DET,2020
2854,Brad Wanamaker,PG,BOS,2020
2855,T.J. Warren,SF,IND,2020
2856,P.J. Washington,PF,CHO,2020
2857,Yuta Watanabe,SF,MEM,2020
2858,Tremont Waters,PG,BOS,2020
2859,Paul Watson,SF,ATL,2020
2860,Paul Watson,SF,TOR,2020
2861,Quinndary Weatherspoon,SG,SAS,2020
2862,Russell Westbrook,PG,HOU,2020
2863,Coby White,PG,CHI,2020
2864,Derrick White,SG,SAS,2020
2865,Hassan Whiteside,C,POR,2020
2866,Andrew Wiggins,SF,MIN,2020
2867,Andrew Wiggins,SF,GSW,2020
2868,Grant Williams,PF,BOS,2020
2869,Johnathan Williams,PF,WAS,2020
2870,Kenrich Williams,PF,NOP,2020
2871,Lou Williams,PG,LAC,2020
2872,Marvin Williams,PF,CHO,2020
2873,Marvin Williams,PF,MIL,2020
2874,Robert Williams,C,BOS,2020
2875,Nigel Williams-Goss,PG,UTA,2020
2876,Zion Williamson,PF,NOP,2020
2877,D.J. Wilson,PF,MIL,2020
2878,Justise Winslow,SG,MIA,2020
2879,Christian Wood,PF,DET,2020
2880,Delon Wright,PG,DAL,2020
2881,Justin Wright-Foreman,PG,UTA,2020
2882,Thaddeus Young,PF,CHI,2020
2883,Trae Young,PG,ATL,2020
2884,Cody Zeller,C,CHO,2020
2885,Tyler Zeller,C,SAS,2020
2886,Ante Zizic,C,CLE,2020
2887,Ivica Zubac,C,LAC,2020
2888,Precious Achiuwa,PF,MIA,2021
2889,Jaylen Adams,PG,MIL,2021
2890,Steven Adams,C,NOP,2021
2891,Bam Adebayo,C,MIA,2021
2892,LaMarcus Aldridge,C,SAS,2021
2893,LaMarcus Aldridge,C,BRK,2021
2894,Ty-Shon Alexander,SG,PHO,2021
2895,Nickeil Alexander-Walker,SG,NOP,2021
2896,Grayson Allen,SG,MEM,2021
2897,Jarrett Allen,C,BRK,2021
2898,Jarrett Allen,C,CLE,2021
2899,Al-Farouq Aminu,PF,ORL,2021
2900,Al-Farouq Aminu,PF,CHI,2021
2901,Kyle Anderson,PF,MEM,2021
2902,Giannis Antetokounmpo,PF,MIL,2021
2903,Kostas Antetokounmpo,PF,LAL,2021
2904,Thanasis Antetokounmpo,SF,MIL,2021
2905,Carmelo Anthony,PF,POR,2021
2906,Cole Anthony,PG,ORL,2021
2907,OG Anunoby,SF,TOR,2021
2908,Ryan Arcidiacono,PG,CHI,2021
2909,Trevor Ariza,SF,MIA,2021
2910,D.J. Augustin,PG,MIL,2021
2911,D.J. Augustin,PG,HOU,2021
2912,Deni Avdija,SF,WAS,2021
2913,Deandre Ayton,C,PHO,2021
2914,Udoka Azubuike,C,UTA,2021
2915,Dwayne Bacon,SG,ORL,2021
2916,Marvin Bagley III,PF,SAC,2021
2917,LaMelo Ball,PG,CHO,2021
2918,Lonzo Ball,PG,NOP,2021
2919,Mo Bamba,C,ORL,2021
2920,Desmond Bane,SG,MEM,2021
2921,Harrison Barnes,PF,SAC,2021
2922,RJ Barrett,SG,NYK,2021
2923,Will Barton,SF,DEN,2021
2924,Keita Bates-Diop,SF,SAS,2021
2925,Nicolas Batum,SF,LAC,2021
2926,Aron Baynes,C,TOR,2021
2927,Kent Bazemore,SF,GSW,2021
2928,Darius Bazley,PF,OKC,2021
2929,Bradley Beal,SG,WAS,2021
2930,Malik Beasley,SG,MIN,2021
2931,Jordan Bell,C,WAS,2021
2932,Jordan Bell,C,GSW,2021
2933,DeAndre' Bembry,SF,TOR,2021
2934,Davis Bertans,PF,WAS,2021
2935,Patrick Beverley,PG,LAC,2021
2936,Saddiq Bey,SF,DET,2021
2937,Tyler Bey,SF,DAL,2021
2938,Khem Birch,C,ORL,2021
2939,Khem Birch,C,TOR,2021
2940,Goga Bitadze,C,IND,2021
2941,Bismack Biyombo,C,CHO,2021
2942,Nemanja Bjelica,PF,SAC,2021
2943,Nemanja Bjelica,PF,MIA,2021
2944,Eric Bledsoe,SG,NOP,2021
2945,Keljin Blevins,SF,POR,2021
2946,Bogdan Bogdanovic,SG,ATL,2021
2947,Bojan Bogdanovic,SF,UTA,2021
2948,Bol Bol,PF,DEN,2021
2949,Marques Bolden,C,CLE,2021
2950,Jordan Bone,PG,ORL,2021
2951,Isaac Bonga,SF,WAS,2021
2952,Devin Booker,SG,PHO,2021
2953,Chris Boucher,C,TOR,2021
2954,Brian Bowen,SF,IND,2021
2955,Avery Bradley,SG,MIA,2021
2956,Avery Bradley,SG,HOU,2021
2957,Tony Bradley,C,PHI,2021
2958,Tony Bradley,C,OKC,2021
2959,Jarrell Brantley,PF,UTA,2021
2960,Ignas Brazdeikis,SF,NYK,2021
2961,Ignas Brazdeikis,SF,PHI,2021
2962,Ignas Brazdeikis,SF,ORL,2021
2963,Mikal Bridges,SF,PHO,2021
2964,Miles Bridges,PF,CHO,2021
2965,Amida Brimah,C,IND,2021
2966,Oshae Brissett,SF,IND,2021
2967,Malcolm Brogdon,PG,IND,2021
2968,Armoni Brooks,SG,HOU,2021
2969,Dillon Brooks,SF,MEM,2021
2970,Bruce Brown,PG,BRK,2021
2971,Charlie Brown Jr.,SG,OKC,2021
2972,Jaylen Brown,SG,BOS,2021
2973,Moses Brown,C,OKC,2021
2974,Sterling Brown,SG,HOU,2021
2975,Troy Brown Jr.,SF,WAS,2021
2976,Troy Brown Jr.,SF,CHI,2021
2977,Jalen Brunson,PG,DAL,2021
2978,Elijah Bryant,SG,MIL,2021
2979,Thomas Bryant,C,WAS,2021
2980,Reggie Bullock,SF,NYK,2021
2981,Trey Burke,PG,DAL,2021
2982,Alec Burks,SG,NYK,2021
2983,Jimmy Butler,SF,MIA,2021
2984,Bruno Caboclo,PF,HOU,2021
2985,Devontae Cacok,PF,LAL,2021
2986,Kentavious Caldwell-Pope,SG,LAL,2021
2987,Facundo Campazzo,PG,DEN,2021
2988,Vlatko Cancar,PF,DEN,2021
2989,Devin Cannady,PG,ORL,2021
2990,Clint Capela,C,ATL,2021
2991,Vernon Carey Jr.,C,CHO,2021
2992,Jevon Carter,PG,PHO,2021
2993,Wendell Carter Jr.,C,CHI,2021
2994,Wendell Carter Jr.,C,ORL,2021
2995,Michael Carter-Williams,SG,ORL,2021
2996,Alex Caruso,PG,LAL,2021
2997,Willie Cauley-Stein,C,DAL,2021
2998,Chris Chiozza,PG,BRK,2021
2999,Marquese Chriss,PF,GSW,2021
3000,Gary Clark,SF,ORL,2021
3001,Gary Clark,SF,DEN,2021
3002,Gary Clark,PF,PHI,2021
3003,Brandon Clarke,PF,MEM,2021
3004,Jordan Clarkson,SG,UTA,2021
3005,Nic Claxton,C,BRK,2021
3006,Amir Coffey,SG,LAC,2021
3007,John Collins,PF,ATL,2021
3008,Mike Conley,PG,UTA,2021
3009,Pat Connaughton,SG,MIL,2021
3010,Quinn Cook,PG,LAL,2021
3011,Quinn Cook,PG,CLE,2021
3012,Tyler Cook,PF,BRK,2021
3013,Tyler Cook,SF,DET,2021
3014,DeMarcus Cousins,C,HOU,2021
3015,DeMarcus Cousins,C,LAC,2021
3016,Robert Covington,PF,POR,2021
3017,Torrey Craig,SF,MIL,2021
3018,Torrey Craig,SF,PHO,2021
3019,Jae Crowder,PF,PHO,2021
3020,Jarrett Culver,SG,MIN,2021
3021,Seth Curry,SG,PHI,2021
3022,Stephen Curry,PG,GSW,2021
3023,Nate Darling,SG,CHO,2021
3024,Anthony Davis,PF,LAL,2021
3025,Ed Davis,C,MIN,2021
3026,Terence Davis,SG,TOR,2021
3027,Terence Davis,SG,SAC,2021
3028,Gabriel Deck,PF,OKC,2021
3029,Dewayne Dedmon,C,MIA,2021
3030,Matthew Dellavedova,PG,CLE,2021
3031,DeMar DeRozan,PF,SAS,2021
3032,Mamadi Diakite,PF,MIL,2021
3033,Hamidou Diallo,SG,OKC,2021
3034,Hamidou Diallo,SF,DET,2021
3035,Gorgui Dieng,C,MEM,2021
3036,Gorgui Dieng,C,SAS,2021
3037,Spencer Dinwiddie,SG,BRK,2021
3038,Donte DiVincenzo,SG,MIL,2021
3039,Luka Doncic,PG,DAL,2021
3040,Luguentz Dort,SG,OKC,2021
3041,Damyean Dotson,SG,CLE,2021
3042,Devon Dotson,PG,CHI,2021
3043,Sekou Doumbouya,PF,DET,2021
3044,PJ Dozier,SG,DEN,2021
3045,Goran Dragic,PG,MIA,2021
3046,Andre Drummond,C,CLE,2021
3047,Andre Drummond,C,LAL,2021
3048,Jared Dudley,PF,LAL,2021
3049,Kris Dunn,PG,ATL,2021
3050,Kevin Durant,PF,BRK,2021
3051,Anthony Edwards,SG,MIN,2021
3052,Carsen Edwards,SG,BOS,2021
3053,CJ Elleby,SF,POR,2021
3054,Henry Ellenson,PF,TOR,2021
3055,Wayne Ellington,SG,DET,2021
3056,Joel Embiid,C,PHI,2021
3057,James Ennis III,SF,ORL,2021
3058,Drew Eubanks,C,SAS,2021
3059,Dante Exum,SG,CLE,2021
3060,Tacko Fall,C,BOS,2021
3061,Derrick Favors,C,UTA,2021
3062,Cristiano Felicio,C,CHI,2021
3063,Terrance Ferguson,SG,PHI,2021
3064,Bruno Fernando,C,ATL,2021
3065,Yogi Ferrell,PG,CLE,2021
3066,Yogi Ferrell,PG,LAC,2021
3067,Dorian Finney-Smith,PF,DAL,2021
3068,Malik Fitts,PF,LAC,2021
3069,Malachi Flynn,PG,TOR,2021
3070,Bryn Forbes,SG,MIL,2021
3071,Trent Forrest,PG,UTA,2021
3072,Evan Fournier,SF,ORL,2021
3073,Evan Fournier,SF,BOS,2021
3074,De'Aaron Fox,PG,SAC,2021
3075,Robert Franks,PF,ORL,2021
3076,Tim Frazier,PG,MEM,2021
3077,Enes Freedom,C,POR,2021
3078,Markelle Fultz,PG,ORL,2021
3079,Wenyen Gabriel,PF,NOP,2021
3080,Daniel Gafford,C,CHI,2021
3081,Daniel Gafford,C,WAS,2021
3082,Danilo Gallinari,PF,ATL,2021
3083,Langston Galloway,SG,PHO,2021
3084,Darius Garland,PG,CLE,2021
3085,Marc Gasol,C,LAL,2021
3086,Rudy Gay,PF,SAS,2021
3087,Paul George,SF,LAC,2021
3088,Taj Gibson,C,NYK,2021
3089,Harry Giles,C,POR,2021
3090,Shai Gilgeous-Alexander,SG,OKC,2021
3091,Anthony Gill,PF,WAS,2021
3092,Freddie Gillespie,PF,TOR,2021
3093,Rudy Gobert,C,UTA,2021
3094,Brandon Goodwin,PG,ATL,2021
3095,Aaron Gordon,PF,ORL,2021
3096,Aaron Gordon,PF,DEN,2021
3097,Eric Gordon,SG,HOU,2021
3098,Devonte' Graham,PG,CHO,2021
3099,Jerami Grant,SF,DET,2021
3100,Danny Green,SF,PHI,2021
3101,Draymond Green,PF,GSW,2021
3102,JaMychal Green,PF,DEN,2021
3103,Javonte Green,SF,BOS,2021
3104,Javonte Green,SG,CHI,2021
3105,Jeff Green,PF,BRK,2021
3106,Josh Green,SG,DAL,2021
3107,Blake Griffin,PF,DET,2021
3108,Blake Griffin,PF,BRK,2021
3109,Kyle Guy,PG,SAC,2021
3110,Rui Hachimura,PF,WAS,2021
3111,Ashton Hagans,PG,MIN,2021
3112,Tyrese Haliburton,PG,SAC,2021
3113,Donta Hall,PF,ORL,2021
3114,Josh Hall,SF,OKC,2021
3115,R.J. Hampton,SG,DEN,2021
3116,R.J. Hampton,SG,ORL,2021
3117,Tim Hardaway Jr.,SG,DAL,2021
3118,James Harden,PG,HOU,2021
3119,James Harden,PG,BRK,2021
3120,Maurice Harkless,SF,MIA,2021
3121,Maurice Harkless,PF,SAC,2021
3122,Jared Harper,PG,NYK,2021
3123,Montrezl Harrell,C,LAL,2021
3124,Gary Harris,SG,DEN,2021
3125,Gary Harris,SG,ORL,2021
3126,Jalen Harris,SG,TOR,2021
3127,Joe Harris,SF,BRK,2021
3128,Tobias Harris,PF,PHI,2021
3129,Shaquille Harrison,SG,UTA,2021
3130,Shaquille Harrison,SG,DEN,2021
3131,Josh Hart,SF,NOP,2021
3132,Isaiah Hartenstein,C,DEN,2021
3133,Isaiah Hartenstein,C,CLE,2021
3134,Udonis Haslem,C,MIA,2021
3135,Jaxson Hayes,C,NOP,2021
3136,Killian Hayes,PG,DET,2021
3137,Gordon Hayward,SF,CHO,2021
3138,Juancho Hernangomez,PF,MIN,2021
3139,Willy Hernangomez,C,NOP,2021
3140,Tyler Herro,SG,MIA,2021
3141,Buddy Hield,SG,SAC,2021
3142,George Hill,PG,OKC,2021
3143,George Hill,PG,PHI,2021
3144,Solomon Hill,PF,ATL,2021
3145,Nate Hinton,SG,DAL,2021
3146,Jaylen Hoard,SF,OKC,2021
3147,Aaron Holiday,PG,IND,2021
3148,Jrue Holiday,PG,MIL,2021
3149,Justin Holiday,SG,IND,2021
3150,Rondae Hollis-Jefferson,PF,POR,2021
3151,Richaun Holmes,C,SAC,2021
3152,Rodney Hood,SF,POR,2021
3153,Rodney Hood,SF,TOR,2021
3154,Al Horford,C,OKC,2021
3155,Talen Horton-Tucker,SG,LAL,2021
3156,Danuel House Jr.,SF,HOU,2021
3157,Dwight Howard,C,PHI,2021
3158,Markus Howard,SG,DEN,2021
3159,Kevin Huerter,SG,ATL,2021
3160,Elijah Hughes,SF,UTA,2021
3161,De'Andre Hunter,SF,ATL,2021
3162,Chandler Hutchison,SF,CHI,2021
3163,Chandler Hutchison,SF,WAS,2021
3164,Serge Ibaka,C,LAC,2021
3165,Andre Iguodala,SF,MIA,2021
3166,Ersan Ilyasova,PF,UTA,2021
3167,Joe Ingles,SF,UTA,2021
3168,Brandon Ingram,SF,NOP,2021
3169,Kyrie Irving,PG,BRK,2021
3170,Wes Iwundu,SF,DAL,2021
3171,Wes Iwundu,SF,NOP,2021
3172,Frank Jackson,PG,DET,2021
3173,Jaren Jackson Jr.,C,MEM,2021
3174,Josh Jackson,SG,DET,2021
3175,Justin Jackson,SF,OKC,2021
3176,Justin Jackson,SF,MIL,2021
3177,Reggie Jackson,SG,LAC,2021
3178,Justin James,SF,SAC,2021
3179,LeBron James,PG,LAL,2021
3180,Mike James,PG,BRK,2021
3181,DaQuan Jeffries,SG,SAC,2021
3182,DaQuan Jeffries,SG,HOU,2021
3183,Ty Jerome,SG,OKC,2021
3184,Isaiah Joe,SG,PHI,2021
3185,Alize Johnson,PF,BRK,2021
3186,Cameron Johnson,PF,PHO,2021
3187,James Johnson,PF,DAL,2021
3188,James Johnson,PF,NOP,2021
3189,Keldon Johnson,SF,SAS,2021
3190,Stanley Johnson,PF,TOR,2021
3191,Tyler Johnson,SG,BRK,2021
3192,Nikola Jokic,C,DEN,2021
3193,Damian Jones,C,PHO,2021
3194,Damian Jones,C,LAL,2021
3195,Damian Jones,C,SAC,2021
3196,Derrick Jones Jr.,SF,POR,2021
3197,Mason Jones,SG,HOU,2021
3198,Mason Jones,SG,PHI,2021
3199,Tre Jones,PG,SAS,2021
3200,Tyus Jones,PG,MEM,2021
3201,DeAndre Jordan,C,BRK,2021
3202,Cory Joseph,PG,SAC,2021
3203,Cory Joseph,PG,DET,2021
3204,Mfiondu Kabengele,PF,LAC,2021
3205,Mfiondu Kabengele,PF,CLE,2021
3206,Frank Kaminsky,C,PHO,2021
3207,Luke Kennard,SG,LAC,2021
3208,Louis King,SF,SAC,2021
3209,Maxi Kleber,PF,DAL,2021
3210,Nathan Knight,PF,ATL,2021
3211,Kevin Knox,SF,NYK,2021
3212,John Konchar,SG,MEM,2021
3213,Furkan Korkmaz,SG,PHI,2021
3214,Luke Kornet,C,CHI,2021
3215,Luke Kornet,C,BOS,2021
3216,Rodions Kurucs,PF,BRK,2021
3217,Rodions Kurucs,SF,HOU,2021
3218,Rodions Kurucs,SF,MIL,2021
3219,Kyle Kuzma,SF,LAL,2021
3220,Anthony Lamb,SF,HOU,2021
