,Player,Pos,Tm,Season
2644,Jimmy Butler,SF,MIA,2020
2645,Bruno Caboclo,C,TOT,2020
2646,Bruno Caboclo,C,MEM,2020
2647,Bruno Caboclo,C,HOU,2020
2648,Devontae Cacok,C,LAL,2020
2649,Kentavious Caldwell-Pope,SG,LAL,2020
2650,Vlatko Čančar,PF,DEN,2020
2651,Clint Capela,C,HOU,2020
2652,DeMarre Carroll,SF-C,TOT,2020
2653,DeMarre Carroll,SF,SAS,2020
2654,DeMarre Carroll,C,HOU,2020
2655,Jevon Carter,PG,PHO,2020
2656,Vince Carter,PF,ATL,2020
2657,Wendell Carter Jr.,C,CHI,2020
2658,Michael Carter-Williams,SG,ORL,2020
2659,Alex Caruso,PG,LAL,2020
2660,Willie Cauley-Stein,C,TOT,2020
2661,Willie Cauley-Stein,C,GSW,2020
2662,Willie Cauley-Stein,C,DAL,2020
2663,Tyson Chandler,C,HOU,2020
2664,Wilson Chandler,PF,BRK,2020
2665,Joe Chealey,PG,CHO,2020
2666,Zylan Cheatham,PF,NOP,2020
2667,Chris Chiozza,PG,TOT,2020
2668,Chris Chiozza,PG,WAS,2020
2669,Chris Chiozza,PG,BRK,2020
2670,Marquese Chriss,PF,GSW,2020
2671,Gary Clark,SF-PF,TOT,2020
2672,Gary Clark,PF,HOU,2020
2673,Gary Clark,SF,ORL,2020
2674,Brandon Clarke,PF,MEM,2020
2675,Jordan Clarkson,SG,TOT,2020
2676,Jordan Clarkson,SG,CLE,2020
2677,Jordan Clarkson,SG,UTA,2020
2678,Nic Claxton,C,BRK,2020
2679,Chris Clemons,SG,HOU,2020
2680,Antonius Cleveland,SG,DAL,2020
2681,Amir Coffey,SG,LAC,2020
2682,John Collins,PF,ATL,2020
2683,Zach Collins,PF,POR,2020
2684,Mike Conley,PG,UTA,2020
2685,Pat Connaughton,SG,MIL,2020
2686,Quinn Cook,PG,LAL,2020
2687,Tyler Cook,PF-SF,TOT,2020
2688,Tyler Cook,PF,CLE,2020
2689,Tyler Cook,SF,DEN,2020
2690,Robert Covington,PF-C,TOT,2020
2691,Robert Covington,PF,MIN,2020
2692,Robert Covington,C,HOU,2020
2693,Allen Crabbe,SG-SF,TOT,2020
2694,Allen Crabbe,SG,ATL,2020
2695,Allen Crabbe,SF,MIN,2020
2696,Torrey Craig,SF,DEN,2020
2697,Jamal Crawford,SG,BRK,2020
2698,Jae Crowder,SF-PF,TOT,2020
2699,Jae Crowder,SF,MEM,2020
2700,Jae Crowder,PF,MIA,2020
2701,Jarrett Culver,SG,MIN,2020
2702,Seth Curry,SG,DAL,2020
2703,Stephen Curry,PG,GSW,2020
2704,Troy Daniels,SG,TOT,2020
2705,Troy Daniels,SG,LAL,2020
2706,Troy Daniels,SG,DEN,2020
2707,Anthony Davis,PF,LAL,2020
2708,Ed Davis,C,UTA,2020
2709,Terence Davis,SG,TOR,2020
2710,Dewayne Dedmon,C,TOT,2020
2711,Dewayne Dedmon,C,SAC,2020
2712,Dewayne Dedmon,C,ATL,2020
2713,Matthew Dellavedova,PG,CLE,2020
2714,DeMar DeRozan,SF,SAS,2020
2715,Cheick Diallo,C,PHO,2020
2716,Hamidou Diallo,SF,OKC,2020
2717,Gorgui Dieng,C,TOT,2020
2718,Gorgui Dieng,C,MIN,2020
2719,Gorgui Dieng,C,MEM,2020
2720,Spencer Dinwiddie,PG,BRK,2020
2721,Donte DiVincenzo,SG,MIL,2020
2722,Luka Dončić,PG,DAL,2020
2723,Luguentz Dort,SF,OKC,2020
2724,Damyean Dotson,SG,NYK,2020
2725,Sekou Doumbouya,PF,DET,2020
2726,PJ Dozier,SG,DEN,2020
2727,Goran Dragić,PG,MIA,2020
2728,Andre Drummond,C,TOT,2020
2729,Andre Drummond,C,DET,2020
2730,Andre Drummond,C,CLE,2020
2731,Jared Dudley,PF,LAL,2020
2732,Kris Dunn,PG,CHI,2020
2733,Carsen Edwards,SG,BOS,2020
2734,Henry Ellenson,C,BRK,2020
2735,Wayne Ellington,SG,NYK,2020
2736,Joel Embiid,C,PHI,2020
2737,James Ennis III,SF-SG,TOT,2020
2738,James Ennis III,SF,PHI,2020
2739,James Ennis III,SG,ORL,2020
2740,Drew Eubanks,C,SAS,2020
2741,Jacob Evans,SG,TOT,2020
2742,Jacob Evans,SG,GSW,2020
2743,Jacob Evans,SG,MIN,2020
2744,Dante Exum,SG,TOT,2020
2745,Dante Exum,SG,UTA,2020
2746,Dante Exum,SG,CLE,2020
2747,Tacko Fall,C,BOS,2020
2748,Derrick Favors,C,NOP,2020
2749,Cristiano Felício,C,CHI,2020
2750,Terrance Ferguson,SF,OKC,2020
2751,Bruno Fernando,C,ATL,2020
2752,Yogi Ferrell,PG,SAC,2020
2753,Dorian Finney-Smith,PF,DAL,2020
2754,Bryn Forbes,SG,SAS,2020
2755,Evan Fournier,SF,ORL,2020
2756,De'Aaron Fox,PG,SAC,2020
2757,Melvin Frazier,SG,ORL,2020
2758,Michael Frazier,SG,HOU,2020
2759,Tim Frazier,PG,DET,2020
2760,Enes Freedom,C,BOS,2020
2761,Markelle Fultz,PG,ORL,2020
2762,Wenyen Gabriel,PF,TOT,2020
2763,Wenyen Gabriel,PF,SAC,2020
2764,Wenyen Gabriel,PF,POR,2020
2765,Daniel Gafford,C,CHI,2020
2766,Danilo Gallinari,PF,OKC,2020
2767,Langston Galloway,SG,DET,2020
2768,Darius Garland,SG,CLE,2020
2769,Marc Gasol,C,TOR,2020
2770,Rudy Gay,PF,SAS,2020
2771,Paul George,SF,LAC,2020
2772,Taj Gibson,C,NYK,2020
2773,Harry Giles,C,SAC,2020
2774,Shai Gilgeous-Alexander,SG,OKC,2020
2775,Rudy Gobert,C,UTA,2020
2776,Brandon Goodwin,PG,ATL,2020
2777,Aaron Gordon,PF,ORL,2020
2778,Eric Gordon,SF,HOU,2020
2779,Devonte' Graham,PG,CHO,2020
2780,Treveon Graham,SF,TOT,2020
2781,Treveon Graham,SF,MIN,2020
2782,Treveon Graham,SF,ATL,2020
2783,Jerami Grant,PF,DEN,2020
2784,Jerian Grant,SG,WAS,2020
2785,Josh Gray,PG,NOP,2020
2786,Danny Green,SG,LAL,2020
2787,Draymond Green,PF,GSW,2020
2788,JaMychal Green,PF,LAC,2020
2789,Javonte Green,SG,BOS,2020
2790,Jeff Green,PF-C,TOT,2020
2791,Jeff Green,PF,UTA,2020
2792,Jeff Green,C,HOU,2020
2793,Blake Griffin,PF,DET,2020
2794,Marko Guduric,SG,MEM,2020
2795,Kyle Guy,SG,SAC,2020
2796,Rui Hachimura,PF,WAS,2020
2797,Devon Hall,PG,OKC,2020
2798,Donta Hall,C-PF,TOT,2020
2799,Donta Hall,PF,DET,2020
2800,Donta Hall,C,BRK,2020
2801,Dusty Hannahs,SG,MEM,2020
2802,Tim Hardaway Jr.,SG,DAL,2020
2803,James Harden,SG,HOU,2020
2804,Maurice Harkless,PF-SF,TOT,2020
2805,Maurice Harkless,PF,LAC,2020
2806,Maurice Harkless,SF,NYK,2020
2807,Jared Harper,PG,PHO,2020
2808,Montrezl Harrell,C,LAC,2020
2809,Gary Harris,SG,DEN,2020
2810,Joe Harris,SF,BRK,2020
2811,Tobias Harris,PF,PHI,2020
2812,Shaquille Harrison,SG,CHI,2020
2813,Josh Hart,SF,NOP,2020
2814,Isaiah Hartenstein,C,HOU,2020
2815,Udonis Haslem,C,MIA,2020
2816,Jaxson Hayes,C,NOP,2020
2817,Gordon Hayward,SF,BOS,2020
2818,John Henson,C,TOT,2020
2819,John Henson,C,CLE,2020
2820,John Henson,C,DET,2020
2821,Dewan Hernandez,C,TOR,2020
2822,Juancho Hernangómez,PF,TOT,2020
2823,Juancho Hernangómez,PF,DEN,2020
2824,Juancho Hernangómez,PF,MIN,2020
2825,Willy Hernangómez,C,CHO,2020
2826,Tyler Herro,SG,MIA,2020
2827,Kevin Hervey,PF,OKC,2020
2828,Mario Hezonja,PF,POR,2020
2829,Buddy Hield,SG,SAC,2020
2830,George Hill,PG,MIL,2020
2831,Solomon Hill,PF,TOT,2020
2832,Solomon Hill,PF,MEM,2020
2833,Solomon Hill,PF,MIA,2020
2834,Jaylen Hoard,PF,POR,2020
2835,Aaron Holiday,PG,IND,2020
2836,Jrue Holiday,SG,NOP,2020
2837,Justin Holiday,SF,IND,2020
2838,Rondae Hollis-Jefferson,PF,TOR,2020
2839,Richaun Holmes,C,SAC,2020
2840,Rodney Hood,SF,POR,2020
2841,Al Horford,C,PHI,2020
2842,Talen Horton-Tucker,SG,LAL,2020
2843,Danuel House Jr.,SF,HOU,2020
2844,Dwight Howard,C,LAL,2020
2845,William Howard,PF,HOU,2020
2846,Kevin Huerter,SG,ATL,2020
2847,De'Andre Hunter,SF,ATL,2020
2848,Chandler Hutchison,SF,CHI,2020
2849,Serge Ibaka,C,TOR,2020
2850,Andre Iguodala,SF,MIA,2020
2851,Ersan İlyasova,PF,MIL,2020
2852,Joe Ingles,PF,UTA,2020
2853,Brandon Ingram,PF,NOP,2020
2854,Kyrie Irving,PG,BRK,2020
2855,Jonathan Isaac,PF,ORL,2020
2856,Wes Iwundu,SF,ORL,2020
2857,Frank Jackson,PG,NOP,2020
2858,Jaren Jackson Jr.,C,MEM,2020
2859,Josh Jackson,SF,MEM,2020
2860,Justin Jackson,PF,DAL,2020
2861,Reggie Jackson,PG,TOT,2020
2862,Reggie Jackson,PG,DET,2020
2863,Reggie Jackson,PG,LAC,2020
2864,Justin James,SF,SAC,2020
2865,LeBron James,PG,LAL,2020
2866,Amile Jefferson,PF,ORL,2020
2867,DaQuan Jeffries,SG,SAC,2020
2868,Ty Jerome,SG,PHO,2020
2869,Alize Johnson,PF,IND,2020
2870,B.J. Johnson,SF,ORL,2020
2871,Cameron Johnson,PF,PHO,2020
2872,James Johnson,PF-C,TOT,2020
2873,James Johnson,PF,MIA,2020
2874,James Johnson,C,MIN,2020
2875,Keldon Johnson,SF,SAS,2020
2876,Stanley Johnson,PF,TOR,2020
2877,Tyler Johnson,PG-SG,TOT,2020
2878,Tyler Johnson,PG,PHO,2020
2879,Tyler Johnson,SG,BRK,2020
2880,Nikola Jokić,C,DEN,2020
2881,Damian Jones,C,ATL,2020
2882,Derrick Jones Jr.,SF,MIA,2020
2883,Tyus Jones,PG,MEM,2020
2884,DeAndre Jordan,C,BRK,2020
2885,Cory Joseph,PG,SAC,2020
2886,Mfiondu Kabengele,C,LAC,2020
2887,Frank Kaminsky,C,PHO,2020
2888,Luke Kennard,SG,DET,2020
2889,Stanton Kidd,SG,UTA,2020
2890,Michael Kidd-Gilchrist,PF,TOT,2020
2891,Michael Kidd-Gilchrist,PF,CHO,2020
2892,Michael Kidd-Gilchrist,PF,DAL,2020
2893,Louis King,SF,DET,2020
2894,Maxi Kleber,PF,DAL,2020
2895,Brandon Knight,SG-PG,TOT,2020
2896,Brandon Knight,SG,CLE,2020
2897,Brandon Knight,PG,DET,2020
2898,Kevin Knox,SF,NYK,2020
2899,John Konchar,SG,MEM,2020
2900,Furkan Korkmaz,SG,PHI,2020
2901,Luke Kornet,C,CHI,2020
2902,Kyle Korver,SF,MIL,2020
2903,Rodions Kurucs,PF,BRK,2020
2904,Kyle Kuzma,PF,LAL,2020
2905,Skal Labissière,C,POR,2020
2906,Jeremy Lamb,SG,IND,2020
2907,Romeo Langford,SG,BOS,2020
2908,Zach LaVine,SF,CHI,2020
2909,Vic Law,PF,ORL,2020
2910,Jake Layman,SF,MIN,2020
2911,T.J. Leaf,PF,IND,2020
2912,Jalen Lecque,SG,PHO,2020
2913,Courtney Lee,SG,DAL,2020
2914,Damion Lee,SG,GSW,2020
2915,Alex Len,C,TOT,2020
2916,Alex Len,C,ATL,2020
2917,Alex Len,C,SAC,2020
2918,Kawhi Leonard,SF,LAC,2020
2919,Meyers Leonard,C,MIA,2020
2920,Caris LeVert,SG,BRK,2020
2921,Damian Lillard,PG,POR,2020
2922,Nassir Little,PF,POR,2020
2923,Kevon Looney,C,GSW,2020
2924,Brook Lopez,C,MIL,2020
2925,Robin Lopez,C,MIL,2020
2926,Kevin Love,PF,CLE,2020
2927,Kyle Lowry,PG,TOR,2020
2928,Timothé Luwawu-Cabarrot,SF,BRK,2020
2929,Trey Lyles,PF,SAS,2020
2930,Daryl Macon,PG,MIA,2020
2931,J.P. Macura,SG,CLE,2020
2932,Josh Magette,PG,ORL,2020
2933,Ian Mahinmi,C,WAS,2020
2934,Thon Maker,C,DET,2020
2935,Terance Mann,SF,LAC,2020
2936,Boban Marjanović,C,DAL,2020
2937,Lauri Markkanen,PF,CHI,2020
2938,Caleb Martin,SF,CHO,2020
2939,Cody Martin,SF,CHO,2020
2940,Jeremiah Martin,PG,BRK,2020
2941,Kelan Martin,SF,MIN,2020
2942,Frank Mason III,PG,MIL,2020
2943,Garrison Mathews,SG,WAS,2020
2944,Wesley Matthews,SG,MIL,2020
2945,Luc Mbah a Moute,PF,HOU,2020
2946,Patrick McCaw,SF,TOR,2020
2947,CJ McCollum,SG,POR,2020
2948,T.J. McConnell,PG,IND,2020
2949,Jalen McDaniels,SF,CHO,2020
2950,Doug McDermott,PF,IND,2020
2951,JaVale McGee,C,LAL,2020
2952,Rodney McGruder,SG,LAC,2020
2953,Alfonzo McKinnie,SF,CLE,2020
2954,Jordan McLaughlin,PG,MIN,2020
2955,Ben McLemore,SF,HOU,2020
2956,Jordan McRae,SG,TOT,2020
2957,Jordan McRae,SG,WAS,2020
2958,Jordan McRae,SG,DEN,2020
2959,Jordan McRae,SG,DET,2020
2960,Nicolò Melli,C,NOP,2020
2961,De'Anthony Melton,PG,MEM,2020
2962,Chimezie Metu,C,SAS,2020
2963,Khris Middleton,SF,MIL,2020
2964,Eric Mika,C,SAC,2020
2965,C.J. Miles,SF,WAS,2020
2966,Malcolm Miller,SF,TOR,2020
2967,Patty Mills,PG,SAS,2020
2968,Paul Millsap,PF,DEN,2020
2969,Shake Milton,SG,PHI,2020
2970,Donovan Mitchell,SG,UTA,2020
2971,Naz Mitrou-Long,SG,IND,2020
2972,Adam Mokoka,SF,CHI,2020
2973,Malik Monk,SG,CHO,2020
2974,Matt Mooney,SG,CLE,2020
2975,E'Twaun Moore,SG,NOP,2020
2976,Ja Morant,PG,MEM,2020
2977,Juwan Morgan,PF,UTA,2020
2978,Marcus Morris,SF-PF,TOT,2020
2979,Marcus Morris,SF,NYK,2020
2980,Marcus Morris,PF,LAC,2020
2981,Markieff Morris,PF,TOT,2020
2982,Markieff Morris,PF,DET,2020
2983,Markieff Morris,PF,LAL,2020
2984,Monte Morris,PG,DEN,2020
2985,Johnathan Motley,PF,LAC,2020
2986,Emmanuel Mudiay,PG,UTA,2020
2987,Mychal Mulder,SF,GSW,2020
2988,Dejounte Murray,PG,SAS,2020
2989,Jamal Murray,PG,DEN,2020
2990,Džanan Musa,SF,BRK,2020
2991,Mike Muscala,C,OKC,2020
2992,Svi Mykhailiuk,SF,DET,2020
2993,Abdel Nader,SF,OKC,2020
2994,Larry Nance Jr.,PF,CLE,2020
2995,Shabazz Napier,PG,TOT,2020
2996,Shabazz Napier,PG,MIN,2020
2997,Shabazz Napier,PG,WAS,2020
2998,Raul Neto,PG,PHI,2020
2999,Malik Newman,SG,CLE,2020
3000,Georges Niang,PF,UTA,2020
3001,Joakim Noah,C,LAC,2020
3002,Nerlens Noel,C,OKC,2020
3003,Zach Norvell,SG,TOT,2020
3004,Zach Norvell,SG,LAL,2020
3005,Zach Norvell,SG,GSW,2020
3006,Jaylen Nowell,SG,MIN,2020
3007,Frank Ntilikina,PG,NYK,2020
3008,Kendrick Nunn,PG,MIA,2020
3009,Jusuf Nurkić,C,POR,2020
3010,David Nwaba,SF,BRK,2020
3011,Royce O'Neale,SF,UTA,2020
3012,Kyle O'Quinn,C,PHI,2020
3013,Semi Ojeleye,PF,BOS,2020
3014,Jahlil Okafor,C,NOP,2020
3015,Elie Okobo,PG,PHO,2020
3016,Josh Okogie,SG,MIN,2020
3017,KZ Okpala,PF,MIA,2020
3018,Victor Oladipo,SG,IND,2020
3019,Kelly Olynyk,C,MIA,2020
3020,Miye Oni,SF,UTA,2020
3021,Cedi Osman,SF,CLE,2020
3022,Kelly Oubre Jr.,SF,PHO,2020
3023,Tariq Owens,PF,PHO,2020
3024,Jeremy Pargo,PG,GSW,2020
3025,Jabari Parker,PF,TOT,2020
3026,Jabari Parker,PF,ATL,2020
3027,Jabari Parker,PF,SAC,2020
3028,Chandler Parsons,PF,ATL,2020
3029,Eric Paschall,PF,GSW,2020
3030,Anžejs Pasečņiks,C,WAS,2020
3031,Patrick Patterson,PF,LAC,2020
3032,Justin Patton,C,OKC,2020
3033,Chris Paul,PG,OKC,2020
3034,Cameron Payne,SG,PHO,2020
3035,Elfrid Payton,PG,NYK,2020
3036,Gary Payton II,SF,WAS,2020
3037,Norvel Pelle,C,PHI,2020
3038,Theo Pinson,SG,BRK,2020
3039,Mason Plumlee,C,DEN,2020
3040,Jakob Poeltl,C,SAS,2020
3041,Vincent Poirier,C,BOS,2020
3042,Shamorie Ponds,PG,TOR,2020
3043,Jordan Poole,SG,GSW,2020
3044,Kevin Porter Jr.,SF,CLE,2020
3045,Michael Porter Jr.,SF,DEN,2020
3046,Otto Porter Jr.,SF,CHI,2020
3047,Bobby Portis,PF,NYK,2020
3048,Kristaps Porziņģis,C,DAL,2020
3049,Dwight Powell,C,DAL,2020
3050,Norman Powell,SG,TOR,2020
3051,Taurean Prince,PF,BRK,2020
3052,Chasson Randle,PG,GSW,2020
3053,Julius Randle,PF,NYK,2020
3054,Josh Reaves,SF,DAL,2020
3055,Cam Reddish,SF,ATL,2020
3056,J.J. Redick,SG,NOP,2020
3057,Naz Reid,C,MIN,2020
3058,Josh Richardson,SG,PHI,2020
3059,Austin Rivers,SG,HOU,2020
3060,Andre Roberson,SF,OKC,2020
3061,Duncan Robinson,SG,MIA,2020
3062,Glenn Robinson III,SF,TOT,2020
3063,Glenn Robinson III,SF,GSW,2020
3064,Glenn Robinson III,SF,PHI,2020
3065,Jerome Robinson,SG,TOT,2020
3066,Jerome Robinson,SG,LAC,2020
3067,Jerome Robinson,SG,WAS,2020
3068,Justin Robinson,PG,WAS,2020
3069,Mitchell Robinson,C,NYK,2020
3070,Isaiah Roby,PF,OKC,2020
3071,Rajon Rondo,PG,LAL,2020
3072,Derrick Rose,PG,DET,2020
3073,Terrence Ross,SG,ORL,2020
3074,Terry Rozier,PG,CHO,2020
3075,Ricky Rubio,PG,PHO,2020
3076,D'Angelo Russell,PG,TOT,2020
3077,D'Angelo Russell,PG,GSW,2020
3078,D'Angelo Russell,PG,MIN,2020
3079,Domantas Sabonis,PF,IND,2020
3080,Luka Šamanić,PF,SAS,2020
3081,JaKarr Sampson,PF,IND,2020
3082,Dario Šarić,PF,PHO,2020
3083,Tomáš Satoranský,SG,CHI,2020
3084,Admiral Schofield,PF,WAS,2020
3085,Dennis Schröder,PG,OKC,2020
3086,Mike Scott,PF,PHI,2020
3087,Thabo Sefolosha,PF,HOU,2020
3088,Collin Sexton,PG,CLE,2020
3089,Landry Shamet,SG,LAC,2020
3090,Marial Shayok,SG,PHI,2020
3091,Iman Shumpert,SF,BRK,2020
3092,Pascal Siakam,PF,TOR,2020
3093,Chris Silva,PF,MIA,2020
3094,Ben Simmons,PG,PHI,2020
3095,Anfernee Simons,SG,POR,2020
3096,Alen Smailagić,C,GSW,2020
3097,Marcus Smart,SG,BOS,2020
3098,Dennis Smith Jr.,PG,NYK,2020
3099,Ish Smith,PG,WAS,2020
3100,J.R. Smith,SG,LAL,2020
3101,Zhaire Smith,SF,PHI,2020
3102,Tony Snell,SF,DET,2020
3103,Omari Spellman,C,GSW,2020
3104,Max Strus,SF,CHI,2020
3105,Edmond Sumner,SG,IND,2020
3106,Caleb Swanigan,PF-C,TOT,2020
3107,Caleb Swanigan,C,SAC,2020
3108,Caleb Swanigan,PF,POR,2020
3109,Jayson Tatum,PF,BOS,2020
3110,Jeff Teague,PG,TOT,2020
3111,Jeff Teague,PG,MIN,2020
3112,Jeff Teague,PG,ATL,2020
3113,Garrett Temple,SG,BRK,2020
3114,Daniel Theis,C,BOS,2020
3115,Isaiah Thomas,PG,WAS,2020
3116,Khyri Thomas,SG,DET,2020
3117,Lance Thomas,PF,BRK,2020
3118,Matt Thomas,SG,TOR,2020
3119,Tristan Thompson,PF,CLE,2020
3120,Sindarius Thornwell,SF,NOP,2020
3121,Matisse Thybulle,SG,PHI,2020
3122,Anthony Tolliver,PF,TOT,2020
3123,Anthony Tolliver,PF,POR,2020
3124,Anthony Tolliver,PF,SAC,2020
3125,Anthony Tolliver,PF,MEM,2020
3126,Juan Toscano-Anderson,SG,GSW,2020
3127,Karl-Anthony Towns,C,MIN,2020
3128,Gary Trent Jr.,SF,POR,2020
3129,Allonzo Trier,SG,NYK,2020
3130,P.J. Tucker,PF,HOU,2020
3131,Rayjon Tucker,SG,UTA,2020
3132,Evan Turner,SG,ATL,2020
3133,Myles Turner,C,IND,2020
3134,Jarrod Uthoff,PF,TOT,2020
3135,Jarrod Uthoff,PF,MEM,2020
3136,Jarrod Uthoff,PF,WAS,2020
3137,Jonas Valančiūnas,C,MEM,2020
3138,Denzel Valentine,SF,CHI,2020
3139,Jarred Vanderbilt,PF,TOT,2020
3140,Jarred Vanderbilt,PF,DEN,2020
3141,Jarred Vanderbilt,PF,MIN,2020
3142,Fred VanVleet,SG,TOR,2020
3143,Gabe Vincent,PG,MIA,2020
3144,Noah Vonleh,C,TOT,2020
3145,Noah Vonleh,C,MIN,2020
3146,Noah Vonleh,C,DEN,2020
3147,Nikola Vučević,C,ORL,2020
3148,Dean Wade,PF,CLE,2020
3149,Moritz Wagner,C,WAS,2020
3150,Dion Waiters,SG,TOT,2020
3151,Dion Waiters,SG,MIA,2020
3152,Dion Waiters,SG,LAL,2020
3153,Kemba Walker,PG,BOS,2020
3154,Lonnie Walker IV,SG,SAS,2020
3155,Tyrone Wallace,SG,ATL,2020
3156,Derrick Walton,PG,TOT,2020
3157,Derrick Walton,PG,LAC,2020
3158,Derrick Walton,PG,DET,2020
3159,Brad Wanamaker,PG,BOS,2020
3160,T.J. Warren,SF,IND,2020
3161,P.J. Washington,PF,CHO,2020
3162,Yuta Watanabe,SF,MEM,2020
3163,Tremont Waters,PG,BOS,2020
3164,Paul Watson,SF,TOT,2020
3165,Paul Watson,SF,ATL,2020
3166,Paul Watson,SF,TOR,2020
3167,Quinndary Weatherspoon,SG,SAS,2020
3168,Russell Westbrook,PG,HOU,2020
3169,Coby White,PG,CHI,2020
3170,Derrick White,SG,SAS,2020
3171,Hassan Whiteside,C,POR,2020
3172,Andrew Wiggins,SF,TOT,2020
3173,Andrew Wiggins,SF,MIN,2020
3174,Andrew Wiggins,SF,GSW,2020
3175,Grant Williams,PF,BOS,2020
3176,Johnathan Williams,PF,WAS,2020
3177,Kenrich Williams,PF,NOP,2020
3178,Lou Williams,PG,LAC,2020
3179,Marvin Williams,PF,TOT,2020
3180,Marvin Williams,PF,CHO,2020
3181,Marvin Williams,PF,MIL,2020
3182,Robert Williams,C,BOS,2020
3183,Nigel Williams-Goss,PG,UTA,2020
3184,Zion Williamson,PF,NOP,2020
3185,D.J. Wilson,PF,MIL,2020
3186,Justise Winslow,SG,MIA,2020
3187,Christian Wood,PF,DET,2020
3188,Delon Wright,PG,DAL,2020
3189,Justin Wright-Foreman,PG,UTA,2020
3190,Thaddeus Young,PF,CHI,2020
3191,Trae Young,PG,ATL,2020
3192,Cody Zeller,C,CHO,2020
3193,Tyler Zeller,C,SAS,2020
3194,Ante Žižić,C,CLE,2020
3195,Ivica Zubac,C,LAC,2020
3196,Precious Achiuwa,PF,MIA,2021
3197,Jaylen Adams,PG,MIL,2021
3198,Steven Adams,C,NOP,2021
3199,Bam Adebayo,C,MIA,2021
3200,LaMarcus Aldridge,C,TOT,2021
3201,LaMarcus Aldridge,C,SAS,2021
3202,LaMarcus Aldridge,C,BRK,2021
3203,Ty-Shon Alexander,SG,PHO,2021
3204,Nickeil Alexander-Walker,SG,NOP,2021
3205,Grayson Allen,SG,MEM,2021
3206,Jarrett Allen,C,TOT,2021
3207,Jarrett Allen,C,BRK,2021
3208,Jarrett Allen,C,CLE,2021
3209,Al-Farouq Aminu,PF,TOT,2021
3210,Al-Farouq Aminu,PF,ORL,2021
3211,Al-Farouq Aminu,PF,CHI,2021
3212,Kyle Anderson,PF,MEM,2021
3213,Giannis Antetokounmpo,PF,MIL,2021
3214,Kostas Antetokounmpo,PF,LAL,2021
3215,Thanasis Antetokounmpo,SF,MIL,2021
3216,Carmelo Anthony,PF,POR,2021
3217,Cole Anthony,PG,ORL,2021
3218,OG Anunoby,SF,TOR,2021
3219,Ryan Arcidiacono,PG,CHI,2021
3220,Trevor Ariza,SF,MIA,2021
3221,D.J. Augustin,PG,TOT,2021
3222,D.J. Augustin,PG,MIL,2021
3223,D.J. Augustin,PG,HOU,2021
3224,Deni Avdija,SF,WAS,2021
3225,Deandre Ayton,C,PHO,2021
3226,Udoka Azubuike,C,UTA,2021
3227,Dwayne Bacon,SG,ORL,2021
3228,Marvin Bagley III,PF,SAC,2021
3229,LaMelo Ball,PG,CHO,2021
3230,Lonzo Ball,PG,NOP,2021
3231,Mo Bamba,C,ORL,2021
3232,Desmond Bane,SG,MEM,2021
3233,Harrison Barnes,PF,SAC,2021
3234,RJ Barrett,SG,NYK,2021
3235,Will Barton,SF,DEN,2021
3236,Keita Bates-Diop,SF,SAS,2021
3237,Nicolas Batum,SF,LAC,2021
3238,Aron Baynes,C,TOR,2021
3239,Kent Bazemore,SF,GSW,2021
3240,Darius Bazley,PF,OKC,2021
3241,Bradley Beal,SG,WAS,2021
3242,Malik Beasley,SG,MIN,2021
3243,Jordan Bell,C,TOT,2021
3244,Jordan Bell,C,WAS,2021
3245,Jordan Bell,C,GSW,2021
3246,DeAndre' Bembry,SF,TOR,2021
3247,Dāvis Bertāns,PF,WAS,2021
3248,Patrick Beverley,PG,LAC,2021
3249,Saddiq Bey,SF,DET,2021
3250,Tyler Bey,SF,DAL,2021
3251,Khem Birch,C,TOT,2021
3252,Khem Birch,C,ORL,2021
3253,Khem Birch,C,TOR,2021
3254,Goga Bitadze,C,IND,2021
3255,Bismack Biyombo,C,CHO,2021
3256,Nemanja Bjelica,PF,TOT,2021
3257,Nemanja Bjelica,PF,SAC,2021
3258,Nemanja Bjelica,PF,MIA,2021
3259,Eric Bledsoe,SG,NOP,2021
3260,Keljin Blevins,SF,POR,2021
3261,Bogdan Bogdanović,SG,ATL,2021
3262,Bojan Bogdanović,SF,UTA,2021
3263,Bol Bol,PF,DEN,2021
3264,Marques Bolden,C,CLE,2021
3265,Jordan Bone,PG,ORL,2021
3266,Isaac Bonga,SF,WAS,2021
3267,Devin Booker,SG,PHO,2021
3268,Chris Boucher,C,TOR,2021
3269,Brian Bowen,SF,IND,2021
3270,Avery Bradley,SG,TOT,2021
3271,Avery Bradley,SG,MIA,2021
3272,Avery Bradley,SG,HOU,2021
3273,Tony Bradley,C,TOT,2021
3274,Tony Bradley,C,PHI,2021
3275,Tony Bradley,C,OKC,2021
3276,Jarrell Brantley,PF,UTA,2021
3277,Ignas Brazdeikis,SF,TOT,2021
3278,Ignas Brazdeikis,SF,NYK,2021
3279,Ignas Brazdeikis,SF,PHI,2021
3280,Ignas Brazdeikis,SF,ORL,2021
3281,Mikal Bridges,SF,PHO,2021
3282,Miles Bridges,PF,CHO,2021
3283,Amida Brimah,C,IND,2021
3284,Oshae Brissett,SF,IND,2021
3285,Malcolm Brogdon,PG,IND,2021
3286,Armoni Brooks,SG,HOU,2021
3287,Dillon Brooks,SF,MEM,2021
3288,Bruce Brown,PG,BRK,2021
3289,Charlie Brown Jr.,SG,OKC,2021
