,ID,date,Tm,home,won,PG,SG,SF,PF,C
5595,2018_20171110_ORL,10/11/2017,ORL,0.0,True,Shelvin Mack,Jonathon Simmons,Evan Fournier,Aaron Gordon,Nikola Vucevic
5596,2018_20171110_PHO,10/11/2017,PHO,1.0,False,Mike James,Devin Booker,T.J. Warren,Marquese Chriss,Alex Len
5597,2018_20171110_BRK,10/11/2017,BRK,0.0,True,D'Angelo Russell,Allen Crabbe,Rondae Hollis-Jefferson,DeMarre Carroll,Timofey Mozgov
5598,2018_20171110_POR,10/11/2017,POR,1.0,False,Damian Lillard,CJ McCollum,Evan Turner,Noah Vonleh,Jusuf Nurkic
5599,2018_20171110_MIL,10/11/2017,MIL,0.0,True,Malcolm Brogdon,Tony Snell,Khris Middleton,Giannis Antetokounmpo,John Henson
5600,2018_20171110_SAS,10/11/2017,SAS,1.0,False,Patty Mills,Danny Green,Kyle Anderson,Rudy Gay,LaMarcus Aldridge
5601,2018_20171110_MIA,10/11/2017,MIA,0.0,True,Goran Dragic,Dion Waiters,Josh Richardson,James Johnson,Hassan Whiteside
5602,2018_20171110_UTA,10/11/2017,UTA,1.0,False,Ricky Rubio,Donovan Mitchell,Joe Ingles,Jonas Jerebko,Rudy Gobert
5603,2018_20171111_CLE,11/11/2017,CLE,0.0,True,Iman Shumpert,J.R. Smith,Jae Crowder,LeBron James,Kevin Love
5604,2018_20171111_DAL,11/11/2017,DAL,1.0,False,Dennis Smith Jr.,Yogi Ferrell,Wesley Matthews,Harrison Barnes,Dirk Nowitzki
5605,2018_20171111_ORL,11/11/2017,ORL,0.0,False,Shelvin Mack,Jonathon Simmons,Evan Fournier,Aaron Gordon,Nikola Vucevic
5606,2018_20171111_DEN,11/11/2017,DEN,1.0,True,Jamal Murray,Will Barton,Wilson Chandler,Paul Millsap,Nikola Jokic
5607,2018_20171111_PHI,11/11/2017,PHI,0.0,False,T.J. McConnell,J.J. Redick,Robert Covington,Dario Saric,Joel Embiid
5608,2018_20171111_GSW,11/11/2017,GSW,1.0,True,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Kevon Looney
5609,2018_20171111_MEM,11/11/2017,MEM,0.0,False,Tyreke Evans,Ben McLemore,Dillon Brooks,Jarell Martin,Marc Gasol
5610,2018_20171111_HOU,11/11/2017,HOU,1.0,True,Bobby Brown,James Harden,Trevor Ariza,P.J. Tucker,Clint Capela
5611,2018_20171111_LAL,11/11/2017,LAL,0.0,False,Lonzo Ball,Kentavious Caldwell-Pope,Brandon Ingram,Kyle Kuzma,Julius Randle
5612,2018_20171111_MIL,11/11/2017,MIL,1.0,True,Malcolm Brogdon,Tony Snell,Khris Middleton,Giannis Antetokounmpo,John Henson
5613,2018_20171111_LAC,11/11/2017,LAC,0.0,False,Jawun Evans,Lou Williams,Wesley Johnson,Blake Griffin,DeAndre Jordan
5614,2018_20171111_NOP,11/11/2017,NOP,1.0,True,Jameer Nelson,Jrue Holiday,Dante Cunningham,Anthony Davis,DeMarcus Cousins
5615,2018_20171111_SAC,11/11/2017,SAC,0.0,False,De'Aaron Fox,Buddy Hield,Justin Jackson,Skal Labissiere,Kosta Koufos
5616,2018_20171111_NYK,11/11/2017,NYK,1.0,True,Jarrett Jack,Courtney Lee,Doug McDermott,Kristaps Porzingis,Enes Freedom
5617,2018_20171111_MIN,11/11/2017,MIN,0.0,False,Jeff Teague,Jimmy Butler,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns
5618,2018_20171111_PHO,11/11/2017,PHO,1.0,True,Tyler Ulis,Devin Booker,T.J. Warren,Marquese Chriss,Tyson Chandler
5619,2018_20171111_CHI,11/11/2017,CHI,0.0,False,Jerian Grant,Denzel Valentine,Quincy Pondexter,Bobby Portis,Robin Lopez
5620,2018_20171111_SAS,11/11/2017,SAS,1.0,True,Dejounte Murray,Bryn Forbes,Kyle Anderson,Davis Bertans,Pau Gasol
5621,2018_20171111_BRK,11/11/2017,BRK,0.0,False,D'Angelo Russell,Allen Crabbe,Rondae Hollis-Jefferson,DeMarre Carroll,Timofey Mozgov
5622,2018_20171111_UTA,11/11/2017,UTA,1.0,True,Ricky Rubio,Rodney Hood,Joe Ingles,Jonas Jerebko,Derrick Favors
5623,2018_20171111_ATL,11/11/2017,ATL,0.0,False,Dennis Schroder,Kent Bazemore,Taurean Prince,John Collins,Dewayne Dedmon
5624,2018_20171111_WAS,11/11/2017,WAS,1.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Mike Scott,Marcin Gortat
5625,2018_20171112_TOR,12/11/2017,TOR,0.0,False,Kyle Lowry,DeMar DeRozan,OG Anunoby,Serge Ibaka,Lucas Nogueira
5626,2018_20171112_BOS,12/11/2017,BOS,1.0,True,Terry Rozier,Jaylen Brown,Jayson Tatum,Marcus Morris,Al Horford
5627,2018_20171112_MIA,12/11/2017,MIA,0.0,False,Goran Dragic,Dion Waiters,Josh Richardson,James Johnson,Hassan Whiteside
5628,2018_20171112_DET,12/11/2017,DET,1.0,True,Reggie Jackson,Avery Bradley,Reggie Bullock,Tobias Harris,Andre Drummond
5629,2018_20171112_HOU,12/11/2017,HOU,0.0,True,Bobby Brown,James Harden,Trevor Ariza,Ryan Anderson,Clint Capela
5630,2018_20171112_IND,12/11/2017,IND,1.0,False,Cory Joseph,Victor Oladipo,Bojan Bogdanovic,Thaddeus Young,Myles Turner
5631,2018_20171112_DAL,12/11/2017,DAL,0.0,False,Dennis Smith Jr.,Yogi Ferrell,Wesley Matthews,Harrison Barnes,Dirk Nowitzki
