,ID,date,Tm,home,won,PG,SG,SF,PF,C
0,,,,0.0,True,,,,,
1,2016_20151027_DET,27/10/2015,DET,0.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Ersan Ilyasova,Andre Drummond
2,2016_20151027_ATL,27/10/2015,ATL,1.0,False,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford
3,2016_20151027_CLE,27/10/2015,CLE,0.0,False,Mo Williams,J.R. Smith,LeBron James,Kevin Love,Timofey Mozgov
4,2016_20151027_CHI,27/10/2015,CHI,1.0,True,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Pau Gasol
5,2016_20151027_NOP,27/10/2015,NOP,0.0,False,Ish Smith,Eric Gordon,Alonzo Gee,Ryan Anderson,Anthony Davis
6,2016_20151027_GSW,27/10/2015,GSW,1.0,True,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,Andrew Bogut
7,2016_20151028_PHI,28/10/2015,PHI,0.0,False,T.J. McConnell,Isaiah Canaan,JaKarr Sampson,Jerami Grant,Jahlil Okafor
8,2016_20151028_BOS,28/10/2015,BOS,1.0,True,Marcus Smart,Avery Bradley,Jae Crowder,David Lee,Tyler Zeller
9,2016_20151028_CHI,28/10/2015,CHI,0.0,True,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Pau Gasol
10,2016_20151028_BRK,28/10/2015,BRK,1.0,False,Shane Larkin,Wayne Ellington,Joe Johnson,Thaddeus Young,Brook Lopez
11,2016_20151028_UTA,28/10/2015,UTA,0.0,False,Raul Neto,Rodney Hood,Gordon Hayward,Derrick Favors,Rudy Gobert
12,2016_20151028_DET,28/10/2015,DET,1.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Ersan Ilyasova,Andre Drummond
13,2016_20151028_DEN,28/10/2015,DEN,0.0,True,Emmanuel Mudiay,Gary Harris,Danilo Gallinari,Kenneth Faried,Joffrey Lauvergne
14,2016_20151028_HOU,28/10/2015,HOU,1.0,False,Ty Lawson,James Harden,Trevor Ariza,Terrence Jones,Clint Capela
15,2016_20151028_MIN,28/10/2015,MIN,0.0,True,Ricky Rubio,Kevin Martin,Andrew Wiggins,Nemanja Bjelica,Karl-Anthony Towns
16,2016_20151028_LAL,28/10/2015,LAL,1.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Julius Randle,Roy Hibbert
17,2016_20151028_CLE,28/10/2015,CLE,0.0,True,Mo Williams,J.R. Smith,LeBron James,Kevin Love,Timofey Mozgov
18,2016_20151028_MEM,28/10/2015,MEM,1.0,False,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol
19,2016_20151028_CHO,28/10/2015,CHO,0.0,False,Kemba Walker,Jeremy Lin,Nicolas Batum,Marvin Williams,Cody Zeller
20,2016_20151028_MIA,28/10/2015,MIA,1.0,True,Goran Dragic,Gerald Green,Justise Winslow,Chris Bosh,Hassan Whiteside
21,2016_20151028_NYK,28/10/2015,NYK,0.0,True,Langston Galloway,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez
22,2016_20151028_MIL,28/10/2015,MIL,1.0,False,Michael Carter-Williams,Khris Middleton,Damien Inglis,Chris Copeland,Greg Monroe
23,2016_20151028_SAS,28/10/2015,SAS,0.0,False,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan
24,2016_20151028_OKC,28/10/2015,OKC,1.0,True,Russell Westbrook,Anthony Morrow,Kevin Durant,Serge Ibaka,Steven Adams
25,2016_20151028_WAS,28/10/2015,WAS,0.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Kris Humphries,Marcin Gortat
26,2016_20151028_ORL,28/10/2015,ORL,1.0,False,Elfrid Payton,Victor Oladipo,Evan Fournier,Tobias Harris,Nikola Vucevic
27,2016_20151028_DAL,28/10/2015,DAL,0.0,True,Raymond Felton,John Jenkins,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia
28,2016_20151028_PHO,28/10/2015,PHO,1.0,False,Eric Bledsoe,Brandon Knight,T.J. Warren,Jon Leuer,Tyson Chandler
29,2016_20151028_NOP,28/10/2015,NOP,0.0,False,Ish Smith,Eric Gordon,Dante Cunningham,Ryan Anderson,Anthony Davis
30,2016_20151028_POR,28/10/2015,POR,1.0,True,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Meyers Leonard,Mason Plumlee
31,2016_20151028_LAC,28/10/2015,LAC,0.0,True,Chris Paul,J.J. Redick,Paul Pierce,Blake Griffin,DeAndre Jordan
32,2016_20151028_SAC,28/10/2015,SAC,1.0,False,Darren Collison,Marco Belinelli,Rudy Gay,Omri Casspi,DeMarcus Cousins
33,2016_20151028_IND,28/10/2015,IND,0.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi
34,2016_20151028_TOR,28/10/2015,TOR,1.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas
35,2016_20151029_MEM,29/10/2015,MEM,0.0,True,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol
36,2016_20151029_IND,29/10/2015,IND,1.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi
37,2016_20151029_DAL,29/10/2015,DAL,0.0,False,Raymond Felton,John Jenkins,Jeremy Evans,Dirk Nowitzki,Zaza Pachulia
38,2016_20151029_LAC,29/10/2015,LAC,1.0,True,Chris Paul,Austin Rivers,Wesley Johnson,Blake Griffin,DeAndre Jordan
39,2016_20151029_ATL,29/10/2015,ATL,0.0,True,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford
40,2016_20151029_NYK,29/10/2015,NYK,1.0,False,Jerian Grant,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez
41,2016_20151030_CHO,30/10/2015,CHO,0.0,False,Kemba Walker,Jeremy Lin,Nicolas Batum,Marvin Williams,Al Jefferson
42,2016_20151030_ATL,30/10/2015,ATL,1.0,True,Jeff Teague,Lamar Patterson,Kent Bazemore,Paul Millsap,Al Horford
43,2016_20151030_TOR,30/10/2015,TOR,0.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas
44,2016_20151030_BOS,30/10/2015,BOS,1.0,False,Isaiah Thomas,Avery Bradley,Jae Crowder,Amir Johnson,Kelly Olynyk
45,2016_20151030_MIA,30/10/2015,MIA,0.0,False,Goran Dragic,Dwyane Wade,Justise Winslow,Chris Bosh,Hassan Whiteside
46,2016_20151030_CLE,30/10/2015,CLE,1.0,True,Matthew Dellavedova,J.R. Smith,LeBron James,Kevin Love,Timofey Mozgov
47,2016_20151030_MIN,30/10/2015,MIN,0.0,True,Ricky Rubio,Kevin Martin,Andrew Wiggins,Nemanja Bjelica,Karl-Anthony Towns
48,2016_20151030_DEN,30/10/2015,DEN,1.0,False,Emmanuel Mudiay,Will Barton,Danilo Gallinari,Kenneth Faried,Nikola Jokic
49,2016_20151030_CHI,30/10/2015,CHI,0.0,False,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Pau Gasol
50,2016_20151030_DET,30/10/2015,DET,1.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Anthony Tolliver,Andre Drummond
51,2016_20151030_GSW,30/10/2015,GSW,0.0,True,Stephen Curry,Klay Thompson,Andre Iguodala,Draymond Green,Festus Ezeli
52,2016_20151030_HOU,30/10/2015,HOU,1.0,False,Ty Lawson,James Harden,Trevor Ariza,Montrezl Harrell,Dwight Howard
53,2016_20151030_WAS,30/10/2015,WAS,0.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Jared Dudley,Marcin Gortat
54,2016_20151030_MIL,30/10/2015,MIL,1.0,False,Michael Carter-Williams,Khris Middleton,Damien Inglis,Johnny O'Bryant,Greg Monroe
55,2016_20151030_OKC,30/10/2015,OKC,0.0,True,Russell Westbrook,Dion Waiters,Kevin Durant,Serge Ibaka,Steven Adams
56,2016_20151030_ORL,30/10/2015,ORL,1.0,False,Elfrid Payton,Victor Oladipo,Evan Fournier,Tobias Harris,Nikola Vucevic
57,2016_20151030_UTA,30/10/2015,UTA,0.0,True,Trey Burke,Alec Burks,Gordon Hayward,Derrick Favors,Rudy Gobert
58,2016_20151030_PHI,30/10/2015,PHI,1.0,False,T.J. McConnell,Hollis Thompson,JaKarr Sampson,Jerami Grant,Jahlil Okafor
59,2016_20151030_POR,30/10/2015,POR,0.0,False,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Noah Vonleh,Mason Plumlee
60,2016_20151030_PHO,30/10/2015,PHO,1.0,True,Eric Bledsoe,Brandon Knight,P.J. Tucker,Markieff Morris,Tyson Chandler
61,2016_20151030_LAL,30/10/2015,LAL,0.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Ryan Kelly,Roy Hibbert
62,2016_20151030_SAC,30/10/2015,SAC,1.0,True,Darren Collison,Ben McLemore,Rudy Gay,Omri Casspi,Willie Cauley-Stein
63,2016_20151030_BRK,30/10/2015,BRK,0.0,False,Jarrett Jack,Wayne Ellington,Rondae Hollis-Jefferson,Thaddeus Young,Brook Lopez
64,2016_20151030_SAS,30/10/2015,SAS,1.0,True,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan
65,2016_20151031_UTA,31/10/2015,UTA,0.0,True,Trey Burke,Rodney Hood,Gordon Hayward,Derrick Favors,Rudy Gobert
66,2016_20151031_IND,31/10/2015,IND,1.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi
67,2016_20151031_SAC,31/10/2015,SAC,0.0,False,Darren Collison,Marco Belinelli,Rudy Gay,Omri Casspi,Kosta Koufos
68,2016_20151031_LAC,31/10/2015,LAC,1.0,True,Chris Paul,J.J. Redick,Lance Stephenson,Blake Griffin,DeAndre Jordan
69,2016_20151031_BRK,31/10/2015,BRK,0.0,False,Jarrett Jack,Markel Brown,Bojan Bogdanovic,Thaddeus Young,Brook Lopez
70,2016_20151031_MEM,31/10/2015,MEM,1.0,True,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol
71,2016_20151031_GSW,31/10/2015,GSW,0.0,True,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,Festus Ezeli
72,2016_20151031_NOP,31/10/2015,NOP,1.0,False,Jrue Holiday,Eric Gordon,Luke Babbitt,Ryan Anderson,Anthony Davis
73,2016_20151031_PHO,31/10/2015,PHO,0.0,True,Eric Bledsoe,Brandon Knight,P.J. Tucker,Markieff Morris,Tyson Chandler
74,2016_20151031_POR,31/10/2015,POR,1.0,False,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Meyers Leonard,Mason Plumlee
75,2016_20151031_NYK,31/10/2015,NYK,0.0,True,Langston Galloway,Sasha Vujacic,Carmelo Anthony,Lance Thomas,Robin Lopez
76,2016_20151031_WAS,31/10/2015,WAS,1.0,False,John Wall,Bradley Beal,Otto Porter Jr.,Drew Gooden,Marcin Gortat
77,2016_20151101_SAS,01/11/2015,SAS,0.0,True,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan
78,2016_20151101_BOS,01/11/2015,BOS,1.0,False,Marcus Smart,Avery Bradley,Jae Crowder,Amir Johnson,Kelly Olynyk
79,2016_20151101_ORL,01/11/2015,ORL,0.0,False,Elfrid Payton,Victor Oladipo,Evan Fournier,Aaron Gordon,Nikola Vucevic
80,2016_20151101_CHI,01/11/2015,CHI,1.0,True,Derrick Rose,Jimmy Butler,Tony Snell,Nikola Mirotic,Joakim Noah
81,2016_20151101_ATL,01/11/2015,ATL,0.0,True,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford
82,2016_20151101_CHO,01/11/2015,CHO,1.0,False,Kemba Walker,Jeremy Lin,Nicolas Batum,Marvin Williams,Al Jefferson
83,2016_20151101_DAL,01/11/2015,DAL,0.0,True,Deron Williams,Raymond Felton,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia
84,2016_20151101_LAL,01/11/2015,LAL,1.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Julius Randle,Roy Hibbert
85,2016_20151101_HOU,01/11/2015,HOU,0.0,False,Ty Lawson,James Harden,Trevor Ariza,Montrezl Harrell,Clint Capela
86,2016_20151101_MIA,01/11/2015,MIA,1.0,True,Goran Dragic,Dwyane Wade,Justise Winslow,Luol Deng,Hassan Whiteside
87,2016_20151101_DEN,01/11/2015,DEN,0.0,False,Jameer Nelson,Gary Harris,Danilo Gallinari,Darrell Arthur,Nikola Jokic
88,2016_20151101_OKC,01/11/2015,OKC,1.0,True,Russell Westbrook,Dion Waiters,Kevin Durant,Serge Ibaka,Steven Adams
89,2016_20151101_MIL,01/11/2015,MIL,0.0,False,Giannis Antetokounmpo,Khris Middleton,Damien Inglis,Johnny O'Bryant,Greg Monroe
90,2016_20151101_TOR,01/11/2015,TOR,1.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas
91,2016_20151102_MIL,02/11/2015,MIL,0.0,True,Giannis Antetokounmpo,Jerryd Bayless,,Johnny O'Bryant,Greg Monroe
92,2016_20151102_BRK,02/11/2015,BRK,1.0,False,Jarrett Jack,Markel Brown,Joe Johnson,Thaddeus Young,Brook Lopez
93,2016_20151102_MEM,02/11/2015,MEM,0.0,False,Mike Conley,Courtney Lee,Matt Barnes,JaMychal Green,Marc Gasol
94,2016_20151102_GSW,02/11/2015,GSW,1.0,True,Stephen Curry,Klay Thompson,Andre Iguodala,Draymond Green,Festus Ezeli
95,2016_20151102_OKC,02/11/2015,OKC,0.0,False,Russell Westbrook,Dion Waiters,Kevin Durant,Serge Ibaka,Enes Freedom
96,2016_20151102_HOU,02/11/2015,HOU,1.0,True,Ty Lawson,James Harden,Trevor Ariza,Montrezl Harrell,Dwight Howard
97,2016_20151102_PHO,02/11/2015,PHO,0.0,False,Eric Bledsoe,Brandon Knight,P.J. Tucker,Markieff Morris,Tyson Chandler
98,2016_20151102_LAC,02/11/2015,LAC,1.0,True,Chris Paul,J.J. Redick,Paul Pierce,Blake Griffin,DeAndre Jordan
99,2016_20151102_POR,02/11/2015,POR,0.0,True,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Meyers Leonard,Mason Plumlee
100,2016_20151102_MIN,02/11/2015,MIN,1.0,False,Ricky Rubio,Kevin Martin,Andrew Wiggins,Nemanja Bjelica,Karl-Anthony Towns
101,2016_20151102_SAS,02/11/2015,SAS,0.0,True,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan
102,2016_20151102_NYK,02/11/2015,NYK,1.0,False,Langston Galloway,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez
103,2016_20151102_CLE,02/11/2015,CLE,0.0,True,Matthew Dellavedova,Jared Cunningham,LeBron James,Kevin Love,Timofey Mozgov
104,2016_20151102_PHI,02/11/2015,PHI,1.0,False,T.J. McConnell,Hollis Thompson,Robert Covington,Jerami Grant,Nerlens Noel
105,2016_20151103_CHI,03/11/2015,CHI,0.0,False,Derrick Rose,Jimmy Butler,Doug McDermott,Nikola Mirotic,Pau Gasol
106,2016_20151103_CHO,03/11/2015,CHO,1.0,True,Kemba Walker,Jeremy Lamb,Nicolas Batum,Marvin Williams,Al Jefferson
107,2016_20151103_TOR,03/11/2015,TOR,0.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Luis Scola,Jonas Valanciunas
108,2016_20151103_DAL,03/11/2015,DAL,1.0,False,Deron Williams,Devin Harris,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia
109,2016_20151103_IND,03/11/2015,IND,0.0,True,George Hill,Monta Ellis,Paul George,Lavoy Allen,Jordan Hill
110,2016_20151103_DET,03/11/2015,DET,1.0,False,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Ersan Ilyasova,Andre Drummond
111,2016_20151103_DEN,03/11/2015,DEN,0.0,True,Emmanuel Mudiay,Gary Harris,Danilo Gallinari,Kenneth Faried,J.J. Hickson
112,2016_20151103_LAL,03/11/2015,LAL,1.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Julius Randle,Tarik Black
113,2016_20151103_ATL,03/11/2015,ATL,0.0,True,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford
114,2016_20151103_MIA,03/11/2015,MIA,1.0,False,Goran Dragic,Dwyane Wade,Justise Winslow,Chris Bosh,Hassan Whiteside
115,2016_20151103_ORL,03/11/2015,ORL,0.0,True,Elfrid Payton,Victor Oladipo,Evan Fournier,Tobias Harris,Nikola Vucevic
116,2016_20151103_NOP,03/11/2015,NOP,1.0,False,Jrue Holiday,Eric Gordon,Luke Babbitt,Ryan Anderson,Anthony Davis
117,2016_20151103_MEM,03/11/2015,MEM,0.0,True,Mike Conley,Courtney Lee,Matt Barnes,Zach Randolph,Marc Gasol
118,2016_20151103_SAC,03/11/2015,SAC,1.0,False,Darren Collison,Marco Belinelli,Rudy Gay,Omri Casspi,Willie Cauley-Stein
119,2016_20151104_BRK,04/11/2015,BRK,0.0,False,Jarrett Jack,Markel Brown,Joe Johnson,Thaddeus Young,Brook Lopez
120,2016_20151104_ATL,04/11/2015,ATL,1.0,True,Dennis Schroder,Justin Holiday,Kent Bazemore,Paul Millsap,Al Horford
121,2016_20151104_NYK,04/11/2015,NYK,0.0,False,Jose Calderon,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez
122,2016_20151104_CLE,04/11/2015,CLE,1.0,True,Mo Williams,Jared Cunningham,Richard Jefferson,Kevin Love,Timofey Mozgov
123,2016_20151104_LAC,04/11/2015,LAC,0.0,False,Chris Paul,J.J. Redick,Lance Stephenson,Blake Griffin,DeAndre Jordan
124,2016_20151104_GSW,04/11/2015,GSW,1.0,True,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,Festus Ezeli
125,2016_20151104_ORL,04/11/2015,ORL,0.0,False,Elfrid Payton,Victor Oladipo,Evan Fournier,Aaron Gordon,Dewayne Dedmon
126,2016_20151104_HOU,04/11/2015,HOU,1.0,True,Ty Lawson,James Harden,Trevor Ariza,Montrezl Harrell,Dwight Howard
127,2016_20151104_BOS,04/11/2015,BOS,0.0,False,Isaiah Thomas,Avery Bradley,Jae Crowder,Jared Sullinger,Kelly Olynyk
128,2016_20151104_IND,04/11/2015,IND,1.0,True,George Hill,Monta Ellis,Paul George,Lavoy Allen,Jordan Hill
129,2016_20151104_PHI,04/11/2015,PHI,0.0,False,T.J. McConnell,Nik Stauskas,JaKarr Sampson,Jerami Grant,Jahlil Okafor
130,2016_20151104_MIL,04/11/2015,MIL,1.0,True,Giannis Antetokounmpo,Khris Middleton,Rashad Vaughn,Jabari Parker,Greg Monroe
131,2016_20151104_TOR,04/11/2015,TOR,0.0,True,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas
132,2016_20151104_OKC,04/11/2015,OKC,1.0,False,Russell Westbrook,Andre Roberson,Kevin Durant,Serge Ibaka,Steven Adams
133,2016_20151104_SAC,04/11/2015,SAC,0.0,False,Darren Collison,Marco Belinelli,Rudy Gay,Omri Casspi,Kosta Koufos
134,2016_20151104_PHO,04/11/2015,PHO,1.0,True,Eric Bledsoe,Brandon Knight,T.J. Warren,Markieff Morris,Tyson Chandler
135,2016_20151104_POR,04/11/2015,POR,0.0,True,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Ed Davis,Mason Plumlee
136,2016_20151104_UTA,04/11/2015,UTA,1.0,False,Trey Burke,Alec Burks,Gordon Hayward,Derrick Favors,Rudy Gobert
137,2016_20151104_SAS,04/11/2015,SAS,0.0,False,Tony Parker,Danny Green,Kawhi Leonard,LaMarcus Aldridge,Tim Duncan
138,2016_20151104_WAS,04/11/2015,WAS,1.0,True,John Wall,Bradley Beal,Otto Porter Jr.,Kris Humphries,Marcin Gortat
139,2016_20151105_OKC,05/11/2015,OKC,0.0,False,Russell Westbrook,Dion Waiters,Kevin Durant,Serge Ibaka,Steven Adams
140,2016_20151105_CHI,05/11/2015,CHI,1.0,True,Derrick Rose,Jimmy Butler,Doug McDermott,Taj Gibson,Pau Gasol
141,2016_20151105_CHO,05/11/2015,CHO,0.0,True,Kemba Walker,Jeremy Lamb,Nicolas Batum,Marvin Williams,Al Jefferson
142,2016_20151105_DAL,05/11/2015,DAL,1.0,False,Deron Williams,John Jenkins,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia
143,2016_20151105_UTA,05/11/2015,UTA,0.0,True,Trey Burke,Alec Burks,Gordon Hayward,Trevor Booker,Rudy Gobert
144,2016_20151105_DEN,05/11/2015,DEN,1.0,False,Emmanuel Mudiay,Gary Harris,Danilo Gallinari,Kenneth Faried,J.J. Hickson
145,2016_20151105_MIA,05/11/2015,MIA,0.0,True,Goran Dragic,Dwyane Wade,Justise Winslow,Luol Deng,Hassan Whiteside
146,2016_20151105_MIN,05/11/2015,MIN,1.0,False,Ricky Rubio,Kevin Martin,Andrew Wiggins,Nemanja Bjelica,Gorgui Dieng
147,2016_20151105_MEM,05/11/2015,MEM,0.0,False,Mike Conley,Courtney Lee,Matt Barnes,Zach Randolph,Marc Gasol
148,2016_20151105_POR,05/11/2015,POR,1.0,True,Damian Lillard,CJ McCollum,Al-Farouq Aminu,Meyers Leonard,Mason Plumlee
149,2016_20151106_WAS,06/11/2015,WAS,0.0,False,John Wall,Bradley Beal,Otto Porter Jr.,Jared Dudley,Marcin Gortat
150,2016_20151106_BOS,06/11/2015,BOS,1.0,True,Isaiah Thomas,Evan Turner,Jae Crowder,Jared Sullinger,Kelly Olynyk
151,2016_20151106_LAL,06/11/2015,LAL,0.0,True,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Julius Randle,Roy Hibbert
152,2016_20151106_BRK,06/11/2015,BRK,1.0,False,Jarrett Jack,Wayne Ellington,Joe Johnson,Thaddeus Young,Brook Lopez
153,2016_20151106_PHI,06/11/2015,PHI,0.0,False,T.J. McConnell,Nik Stauskas,JaKarr Sampson,Jerami Grant,Jahlil Okafor
154,2016_20151106_CLE,06/11/2015,CLE,1.0,True,Mo Williams,Jared Cunningham,LeBron James,Kevin Love,Timofey Mozgov
155,2016_20151106_DEN,06/11/2015,DEN,0.0,False,Emmanuel Mudiay,Will Barton,Danilo Gallinari,Kenneth Faried,Nikola Jokic
156,2016_20151106_GSW,06/11/2015,GSW,1.0,True,Stephen Curry,Klay Thompson,Harrison Barnes,Draymond Green,Festus Ezeli
157,2016_20151106_MIA,06/11/2015,MIA,0.0,False,Goran Dragic,Dwyane Wade,Justise Winslow,Chris Bosh,Hassan Whiteside
158,2016_20151106_IND,06/11/2015,IND,1.0,True,George Hill,Monta Ellis,Paul George,Lavoy Allen,Ian Mahinmi
159,2016_20151106_ATL,06/11/2015,ATL,0.0,True,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford
160,2016_20151106_NOP,06/11/2015,NOP,1.0,False,Ish Smith,Eric Gordon,Luke Babbitt,Ryan Anderson,Anthony Davis
161,2016_20151106_MIL,06/11/2015,MIL,0.0,True,Giannis Antetokounmpo,Khris Middleton,Chris Copeland,Jabari Parker,John Henson
162,2016_20151106_NYK,06/11/2015,NYK,1.0,False,Langston Galloway,Sasha Vujacic,Carmelo Anthony,Kristaps Porzingis,Robin Lopez
163,2016_20151106_TOR,06/11/2015,TOR,0.0,False,Kyle Lowry,DeMar DeRozan,DeMarre Carroll,Patrick Patterson,Jonas Valanciunas
164,2016_20151106_ORL,06/11/2015,ORL,1.0,True,C.J. Watson,Victor Oladipo,Evan Fournier,Tobias Harris,Dewayne Dedmon
165,2016_20151106_DET,06/11/2015,DET,0.0,True,Reggie Jackson,Kentavious Caldwell-Pope,Marcus Morris,Anthony Tolliver,Andre Drummond
166,2016_20151106_PHO,06/11/2015,PHO,1.0,False,Eric Bledsoe,Brandon Knight,P.J. Tucker,Markieff Morris,Tyson Chandler
167,2016_20151106_HOU,06/11/2015,HOU,0.0,True,Ty Lawson,Marcus Thornton,Trevor Ariza,Montrezl Harrell,Clint Capela
168,2016_20151106_SAC,06/11/2015,SAC,1.0,False,Darren Collison,Marco Belinelli,Rudy Gay,Omri Casspi,Kosta Koufos
169,2016_20151107_WAS,07/11/2015,WAS,0.0,False,John Wall,Bradley Beal,Otto Porter Jr.,Kris Humphries,Marcin Gortat
170,2016_20151107_ATL,07/11/2015,ATL,1.0,True,Jeff Teague,Kyle Korver,Kent Bazemore,Paul Millsap,Al Horford
171,2016_20151107_MIN,07/11/2015,MIN,0.0,True,Ricky Rubio,Zach LaVine,Andrew Wiggins,Nemanja Bjelica,Karl-Anthony Towns
172,2016_20151107_CHI,07/11/2015,CHI,1.0,False,Derrick Rose,Jimmy Butler,Tony Snell,Taj Gibson,Pau Gasol
173,2016_20151107_NOP,07/11/2015,NOP,0.0,False,Ish Smith,Eric Gordon,Luke Babbitt,Ryan Anderson,Anthony Davis
174,2016_20151107_DAL,07/11/2015,DAL,1.0,True,Deron Williams,Devin Harris,Wesley Matthews,Dirk Nowitzki,Zaza Pachulia
175,2016_20151107_HOU,07/11/2015,HOU,0.0,True,Ty Lawson,James Harden,Trevor Ariza,Montrezl Harrell,Dwight Howard
176,2016_20151107_LAC,07/11/2015,LAC,1.0,False,Pablo Prigioni,J.J. Redick,Paul Pierce,Blake Griffin,DeAndre Jordan
177,2016_20151107_BRK,07/11/2015,BRK,0.0,False,Jarrett Jack,Wayne Ellington,Joe Johnson,Thaddeus Young,Brook Lopez
178,2016_20151107_MIL,07/11/2015,MIL,1.0,True,Giannis Antetokounmpo,Khris Middleton,Damien Inglis,Jabari Parker,Greg Monroe
179,2016_20151107_ORL,07/11/2015,ORL,0.0,True,Elfrid Payton,Victor Oladipo,Evan Fournier,Tobias Harris,Dewayne Dedmon
180,2016_20151107_PHI,07/11/2015,PHI,1.0,False,T.J. McConnell,Nik Stauskas,JaKarr Sampson,Jerami Grant,Jahlil Okafor
181,2016_20151107_GSW,07/11/2015,GSW,0.0,True,Stephen Curry,Klay Thompson,Andre Iguodala,Draymond Green,Festus Ezeli
182,2016_20151107_SAC,07/11/2015,SAC,1.0,False,Rajon Rondo,Marco Belinelli,Rudy Gay,Omri Casspi,Kosta Koufos
183,2016_20151107_CHO,07/11/2015,CHO,0.0,False,Kemba Walker,Jeremy Lamb,Nicolas Batum,Marvin Williams,Al Jefferson
184,2016_20151107_SAS,07/11/2015,SAS,1.0,True,Tony Parker,Danny Green,Kawhi Leonard,David West,Tim Duncan
185,2016_20151107_MEM,07/11/2015,MEM,0.0,False,Mike Conley,Courtney Lee,Jeff Green,Zach Randolph,Marc Gasol
186,2016_20151107_UTA,07/11/2015,UTA,1.0,True,Trey Burke,Rodney Hood,Gordon Hayward,Derrick Favors,Rudy Gobert
187,2016_20151108_IND,08/11/2015,IND,0.0,False,George Hill,Monta Ellis,Paul George,Lavoy Allen,Jordan Hill
188,2016_20151108_CLE,08/11/2015,CLE,1.0,True,Mo Williams,Jared Cunningham,LeBron James,Kevin Love,Timofey Mozgov
189,2016_20151108_TOR,08/11/2015,TOR,0.0,False,Kyle Lowry,DeMar DeRozan,Terrence Ross,James Johnson,Jonas Valanciunas
190,2016_20151108_MIA,08/11/2015,MIA,1.0,True,Goran Dragic,Dwyane Wade,Justise Winslow,Chris Bosh,Hassan Whiteside
191,2016_20151108_LAL,08/11/2015,LAL,0.0,False,D'Angelo Russell,Jordan Clarkson,Kobe Bryant,Julius Randle,Roy Hibbert
